"id",id2,"unique_id","genus","species","sex",observedIT_mu,conversion_factor,ITlength_mm,head_width,head_length,head_depth,"tongue_type",cardo_mm,prementum_mm,glossa_mm,glossa_in_prem,tongue_mm,"measured_by","project","old_uniqueID","pixel_update","notes","note_2","X_val"
"2019_NAT.CIG2012_0878",2019,"NAT.CIG2012_0878","Halictus","ligatus_poeyi","female",NULL,NULL,1.629,NULL,NULL,NULL,"short",1.684,1.486,1.141,NULL,2.627,"GN","CIG","DC_0302",NULL,"",NULL,NULL
"202_645",202,"645","Colletes","validus","female",3.4,1,3.4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"W_lab",NULL,NULL,NULL,NULL,NULL,NULL
"2020_NAT.CIG2012_0906",2020,"NAT.CIG2012_0906","Halictus","ligatus_poeyi","female",NULL,NULL,1.644,2.69128973,NULL,NULL,"short",1.685,1.55,1.179,NULL,2.729,"GN","CIG","DC_0164",NULL,"",NULL,NULL
"2021_NAT.CIG2012_0919",2021,"NAT.CIG2012_0919","Halictus","ligatus_poeyi","female",NULL,NULL,1.408,2.49772629,NULL,NULL,"short",1.62,1.555,1.246,NULL,2.801,"GN","CIG","DC_0485",NULL,"",NULL,NULL
"2022_NAT.CIG2012_0982",2022,"NAT.CIG2012_0982","Halictus","ligatus_poeyi","male",NULL,NULL,1.91,2.84322809,NULL,NULL,"short",1.981,2.093,1.44,NULL,3.533,"GN","CIG","JB_0091",NULL,"",NULL,NULL
"2023_NAT.CIG2012_1014",2023,"NAT.CIG2012_1014","Halictus","ligatus_poeyi","female",NULL,NULL,2.024,3.45399611,NULL,NULL,"short",2.1,1.903,0.704,NULL,2.607,"GN","CIG","BJ_0048",NULL,"",NULL,NULL
"2024_NAT.CIG2012_1015",2024,"NAT.CIG2012_1015","Halictus","ligatus_poeyi","female",NULL,NULL,1.933,3.230831854,NULL,NULL,"short",1.951,1.817,1.128,NULL,2.945,"GN","CIG","BJ_0049",NULL,"",NULL,NULL
"2025_NAT.CIG2012_1017",2025,"NAT.CIG2012_1017","Halictus","ligatus_poeyi","female",NULL,NULL,1.739,2.714214182,NULL,NULL,"short",1.696,1.628,1.093,NULL,2.721,"GN","CIG","BJ_0020",NULL,"",NULL,NULL
"2026_NAT.CIG2012_1018",2026,"NAT.CIG2012_1018","Halictus","ligatus_poeyi","female",NULL,NULL,1.802,2.9779135,NULL,NULL,"short",1.74,1.759,1.202,NULL,2.961,"GN","CIG","BJ_0040",NULL,"",NULL,NULL
"2027_NAT.CIG2012_1019",2027,"NAT.CIG2012_1019","Halictus","ligatus_poeyi","female",NULL,NULL,1.979,3.22236718,NULL,NULL,"short",1.956,1.896,1.173,NULL,3.069,"GN","CIG","BJ_0053",NULL,"",NULL,NULL
"2028_NAT.CIG2012_1020",2028,"NAT.CIG2012_1020","Halictus","ligatus_poeyi","female",NULL,NULL,1.875,3.311067435,NULL,NULL,"short",1.969,1.829,1.14,NULL,2.969,"GN","CIG","BJ_0054",NULL,"",NULL,NULL
"2029_NAT.CIG2012_1022",2029,"NAT.CIG2012_1022","Halictus","ligatus_poeyi","female",NULL,NULL,1.571,2.61735582,NULL,NULL,"short",1.622,1.63,0.96,NULL,2.59,"GN","CIG","BJ_0037",NULL,"",NULL,NULL
"203_1228",203,"1228","Colletes","validus","female",3.5,1,3.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"W_lab",NULL,NULL,NULL,NULL,NULL,NULL
"2030_NAT.CIG2012_1023",2030,"NAT.CIG2012_1023","Halictus","ligatus_poeyi","female",NULL,NULL,1.53,2.664022236,NULL,NULL,"short",1.736,1.626,1.138,NULL,2.764,"GN","CIG","BJ_0039",NULL,"",NULL,NULL
"2031_NAT.CIG2012_1025",2031,"NAT.CIG2012_1025","Halictus","ligatus_poeyi","female",NULL,NULL,1.55,2.553368327,NULL,NULL,"short",1.6,1.622,0.802,NULL,2.424,"GN","CIG","BJ_0059",NULL,"",NULL,NULL
"2032_NAT.CIG2012_1026",2032,"NAT.CIG2012_1026","Halictus","ligatus_poeyi","female",NULL,NULL,1.715,2.822807275,NULL,NULL,"short",1.799,1.779,1.04,NULL,2.819,"GN","CIG","BJ_0024",NULL,"",NULL,NULL
"2033_NAT.CIG2012_1027",2033,"NAT.CIG2012_1027","Halictus","ligatus_poeyi","female",NULL,NULL,1.842,2.967098473,NULL,NULL,"short",1.872,1.764,0.858,NULL,2.622,"GN","CIG","BJ_0025",NULL,"",NULL,NULL
"2034_NAT.CIG2012_1028",2034,"NAT.CIG2012_1028","Halictus","ligatus_poeyi","female",NULL,NULL,1.588,2.6950537,NULL,NULL,"short",1.644,1.521,0.803,NULL,2.324,"GN","CIG","BJ_0027",NULL,"",NULL,NULL
"2035_NAT.CIG2012_1030",2035,"NAT.CIG2012_1030","Halictus","ligatus_poeyi","female",NULL,NULL,1.842,2.615107656,NULL,NULL,"short",1.805,1.704,0.983,NULL,2.687,"GN","CIG","BJ_0044",NULL,"",NULL,NULL
"2036_NAT.CIG2012_1031",2036,"NAT.CIG2012_1031","Halictus","ligatus_poeyi","female",NULL,NULL,1.783,2.886368978,NULL,NULL,"short",1.717,1.648,1.065,NULL,2.713,"GN","CIG","BJ_0046",NULL,"",NULL,NULL
"2037_NAT.CIG2012_1032",2037,"NAT.CIG2012_1032","Halictus","ligatus_poeyi","female",NULL,NULL,1.63,2.669250919,NULL,NULL,"short",1.761,1.694,1.128,NULL,2.822,"GN","CIG","BJ_0011",NULL,"",NULL,NULL
"2038_NAT.CIG2012_1040",2038,"NAT.CIG2012_1040","Halictus","ligatus_poeyi","male",NULL,NULL,1.528,2.224642593,NULL,NULL,"short",1.604,1.58,1.136,NULL,2.716,"GN","CIG","DC_0383",NULL,"",NULL,NULL
"2039_NAT.CIG2012_1045",2039,"NAT.CIG2012_1045","Halictus","ligatus_poeyi","male",NULL,NULL,1.709,2.616265801,NULL,NULL,"short",1.916,1.828,1.405,NULL,3.233,"GN","CIG","DC_0165",NULL,"",NULL,NULL
"204_647",204,"647","Colletes","validus","female",3.4,1,3.4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"W_lab",NULL,NULL,NULL,NULL,NULL,NULL
"2040_NAT.CIG2012_1046",2040,"NAT.CIG2012_1046","Halictus","ligatus_poeyi","male",NULL,NULL,1.371,2.144304824,NULL,NULL,"short",1.48,1.534,1.04,NULL,2.574,"GN","CIG","BJ_0472",NULL,"",NULL,NULL
"2041_NAT.CIG2012_1047",2041,"NAT.CIG2012_1047","Halictus","ligatus_poeyi","male",NULL,NULL,1.804,2.786802601,NULL,NULL,"short",1.912,1.994,1.493,NULL,3.487,"GN","CIG","BJ_0452",NULL,"",NULL,NULL
"2042_NAT.CIG2012_1048",2042,"NAT.CIG2012_1048","Halictus","ligatus_poeyi","male",NULL,NULL,1.794,2.556910888,NULL,NULL,"short",1.802,1.781,1.248,NULL,3.029,"GN","CIG","DC_0093",NULL,"",NULL,NULL
"2043_NAT.CIG2012_1050",2043,"NAT.CIG2012_1050","Halictus","ligatus_poeyi","male",NULL,NULL,1.566,2.392743883,NULL,NULL,"short",1.698,1.746,1.246,NULL,2.992,"GN","CIG","JB_0060",NULL,"",NULL,NULL
"2044_NAT.CIG2012_1051",2044,"NAT.CIG2012_1051","Halictus","ligatus_poeyi","male",NULL,NULL,1.568,2.40986058,NULL,NULL,"short",1.706,1.906,1.358,NULL,3.264,"GN","CIG","JB_0070",NULL,"",NULL,NULL
"2045_NAT.CIG2012_1052",2045,"NAT.CIG2012_1052","Halictus","parallelus","female",NULL,NULL,2.554,3.335081905,NULL,NULL,"short",1.943,1.988,1.11,NULL,3.098,"GN","CIG","BJ_0262",NULL,"",NULL,NULL
"2046_NAT.CIG2012_1053",2046,"NAT.CIG2012_1053","Halictus","parallelus","female",NULL,NULL,2.34,3.259529998,NULL,NULL,"short",1.885,1.877,0.862,NULL,2.739,"GN","CIG","BJ_0429",NULL,"",NULL,NULL
"2047_NAT.CIG2012_1055",2047,"NAT.CIG2012_1055","Halictus","rubicundus","female",NULL,NULL,1.825,2.674326317,NULL,NULL,"short",1.649,1.636,0.876,NULL,2.512,"GN","CIG","GN_0097",NULL,"",NULL,NULL
"2048_NAT.CIG2012_1056",2048,"NAT.CIG2012_1056","Halictus","rubicundus","female",NULL,NULL,1.922,2.828325493,NULL,NULL,"short",1.766,1.867,0.959,NULL,2.826,"GN","CIG","BJ_0114",NULL,"",NULL,NULL
"2049_NAT.CIG2012_1057",2049,"NAT.CIG2012_1057","Halictus","rubicundus","female",NULL,NULL,2.221,2.934397918,NULL,NULL,"short",1.791,1.913,0.329,NULL,2.242,"GN","CIG","BJ_0119",NULL,"",NULL,NULL
"205_649",205,"649","Colletes","validus","female",3.5,1,3.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"W_lab",NULL,NULL,NULL,NULL,NULL,NULL
"2050_NAT.CIG2012_1058",2050,"NAT.CIG2012_1058","Halictus","rubicundus","female",NULL,NULL,1.722,2.591314596,NULL,NULL,"short",1.573,1.675,0.903,NULL,2.578,"GN","CIG","BJ_0141",NULL,"",NULL,NULL
"2051_NAT.CIG2012_1059",2051,"NAT.CIG2012_1059","Halictus","rubicundus","female",NULL,NULL,1.923,2.85629128,NULL,NULL,"short",1.707,1.814,0.883,NULL,2.697,"GN","CIG","GN_0346",NULL,"",NULL,NULL
"2052_NAT.CIG2012_1060",2052,"NAT.CIG2012_1060","Halictus","rubicundus","female",NULL,NULL,2.296,3.029502032,NULL,NULL,"short",1.86,1.917,1.049,NULL,2.966,"GN","CIG","GN_0299",NULL,"",NULL,NULL
"2053_NAT.CIG2012_1062",2053,"NAT.CIG2012_1062","Halictus","confusus","female",NULL,NULL,1.446,2.091166422,NULL,NULL,"short",1.384,1.514,0.82,NULL,2.334,"GN","CIG","DC_0094",NULL,"",NULL,NULL
"2054_NAT.CIG2012_1064",2054,"NAT.CIG2012_1064","Halictus","confusus","female",NULL,NULL,1.449,2.08704479,NULL,NULL,"short",1.345,1.429,0.757,NULL,2.186,"GN","CIG","DC_0195",NULL,"",NULL,NULL
"2055_NAT.CIG2012_1068",2055,"NAT.CIG2012_1068","Halictus","parallelus","female",NULL,NULL,2.063,3.165311524,NULL,NULL,"short",1.771,1.863,1.038,NULL,2.901,"GN","CIG","DC_0046",NULL,"",NULL,NULL
"2056_NAT.CIG2012_1069",2056,"NAT.CIG2012_1069","Halictus","parallelus","female",NULL,NULL,2.26,3.387539045,NULL,NULL,"short",1.94,2.003,1.098,NULL,3.101,"GN","CIG","GN_0448",NULL,"",NULL,NULL
"2057_NAT.CIG2012_1070",2057,"NAT.CIG2012_1070","Halictus","parallelus","male",NULL,NULL,1.966,3.064757318,NULL,NULL,"short",1.807,1.88,0.935,NULL,2.815,"GN","CIG","GN_0433",NULL,"",NULL,NULL
"2058_NAT.CIG2012_1071",2058,"NAT.CIG2012_1071","Halictus","parallelus","female",NULL,NULL,2.247,3.265116342,NULL,NULL,"short",1.891,1.923,1.013,NULL,2.936,"GN","CIG","DC_0050",NULL,"",NULL,NULL
"2059_NAT.CIG2012_1072",2059,"NAT.CIG2012_1072","Halictus","parallelus","female",NULL,NULL,2.356,3.359777636,NULL,NULL,"short",1.907,1.894,0.972,NULL,2.866,"GN","CIG","BJ_0344",NULL,"",NULL,NULL
"206_703",206,"703","Colletes","validus","female",2.8,1,2.8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"W_lab",NULL,NULL,NULL,NULL,NULL,NULL
