"sampleddifferences","tongue","bee","site","sampleround"
1.84051843921053,2.79433217678947,"Agapostemon_virescens","Fox Hill",4
-2.79433217678947,2.79433217678947,"Agapostemon_virescens","Fox Hill",4
-0.911402772033376,2.79433217678947,"Agapostemon_virescens","Fox Hill",4
27.6993344932105,2.79433217678947,"Agapostemon_virescens","Fox Hill",4
-2.79433217678947,2.79433217678947,"Agapostemon_virescens","Fox Hill",4
-0.911402772033376,2.79433217678947,"Agapostemon_virescens","Fox Hill",4
-2.79433217678947,2.79433217678947,"Agapostemon_virescens","Fox Hill",4
-0.911402772033376,2.79433217678947,"Agapostemon_virescens","Fox Hill",4
13.1360011532105,2.79433217678947,"Agapostemon_virescens","Fox Hill",4
1.84051843921053,2.79433217678947,"Agapostemon_virescens","Fox Hill",4
-0.911402772033376,2.79433217678947,"Agapostemon_virescens","Fox Hill",4
-0.911402772033376,2.79433217678947,"Agapostemon_virescens","Fox Hill",4
-0.911402772033376,2.79433217678947,"Agapostemon_virescens","Fox Hill",4
-1.06111760978947,2.79433217678947,"Agapostemon_virescens","Fox Hill",4
-0.911402772033376,2.79433217678947,"Agapostemon_virescens","Fox Hill",4
-0.911402772033376,2.79433217678947,"Agapostemon_virescens","Fox Hill",4
-2.79433217678947,2.79433217678947,"Agapostemon_virescens","Fox Hill",4
-0.911402772033376,2.79433217678947,"Agapostemon_virescens","Fox Hill",4
-2.79433217678947,2.79433217678947,"Agapostemon_virescens","Fox Hill",4
-0.911402772033376,2.79433217678947,"Agapostemon_virescens","Fox Hill",4
-0.911402772033376,2.79433217678947,"Agapostemon_virescens","Fox Hill",4
-2.79433217678947,2.79433217678947,"Agapostemon_virescens","Fox Hill",4
-2.79433217678947,2.79433217678947,"Agapostemon_virescens","Fox Hill",4
-2.79433217678947,2.79433217678947,"Agapostemon_virescens","Fox Hill",4
-2.79433217678947,2.79433217678947,"Agapostemon_virescens","Fox Hill",4
-2.79433217678947,2.79433217678947,"Agapostemon_virescens","Fox Hill",4
-0.911402772033376,2.79433217678947,"Agapostemon_virescens","Fox Hill",4
-0.911402772033376,2.79433217678947,"Agapostemon_virescens","Fox Hill",4
-0.911402772033376,2.79433217678947,"Agapostemon_virescens","Fox Hill",4
13.1360011532105,2.79433217678947,"Agapostemon_virescens","Fox Hill",4
-0.911402772033376,2.79433217678947,"Agapostemon_virescens","Fox Hill",4
