Species	Individual	Flower	width	depth
Verbena_urticifolia	2	5	0.77	1.84
Verbena_urticifolia	2	6	0.72	2.05
Verbena_urticifolia	3	1	0.83	1.94
Verbena_urticifolia	3	2	0.79	2.00
Verbena_urticifolia	3	3	0.90	1.99
Verbena_urticifolia	3	4	0.99	1.92
Verbena_urticifolia	3	5	0.72	2.01
Verbena_urticifolia	3	6	0.89	2.00
Verbena_urticifolia	4	1	0.91	2.12
Verbena_urticifolia	4	2	0.85	2.21
Verbena_urticifolia	4	3	0.76	2.17
Verbena_urticifolia	4	4	0.85	2.17
Verbena_urticifolia	4	5	0.70	2.04
Verbena_urticifolia	4	6	0.94	2.22
Verbena_urticifolia	5	1	0.82	2.13
Verbena_urticifolia	5	2	0.78	2.04
Verbena_urticifolia	5	3	0.83	2.15
Verbena_urticifolia	5	4	0.81	2.09
Verbena_urticifolia	5	5	0.81	2.13
Verbena_urticifolia	5	6	0.82	2.20
Verbena_urticifolia	6	1	0.87	2.19
Verbena_urticifolia	6	2	0.88	2.25
Verbena_urticifolia	6	3	0.81	2.10
Verbena_urticifolia	6	4	0.77	1.93
Verbena_urticifolia	6	5	0.90	2.11
Verbena_urticifolia	6	6	0.78	2.07
Verbascum_thapsus 	1	1	8.05	6.48
Verbascum_thapsus 	1	2	7.71	5.22
Verbascum_thapsus 	1	3	8.22	6.16
Verbascum_thapsus 	1	4	7	6.75
Verbascum_thapsus 	1	5	7.97	5.43
Verbascum_thapsus	2	1	8.59	3.64
Verbascum_thapsus	2	2	8.41	3.59
Verbascum_thapsus	2	3	8.48	5.77
Verbascum_thapsus	2	4	7.05	4.93
Verbascum_thapsus	2	5	7.09	5.12
Verbascum_thapsus	2	6	7.39	4.9
Verbascum_thapsus	3	1	7.19	4.71
Verbascum_thapsus	3	2	7.17	5.87
Verbascum_thapsus	3	3	7.89	5.5
Verbascum_thapsus 	3	4	7.67	5.65
Verbascum_thapsus	3	5	8.6	4.8
Verbascum_thapsus	3	6	6.45	5.19
Verbascum_thapsus	4	1	8.39	4.87
Verbascum_thapsus	4	2	8.81	4.17
Verbascum_thapsus	4	3	9.22	4.91
Verbascum_thapsus	4	4	8.16	4.61
Verbascum_thapsus	4	5	9.08	5.73
Verbascum_thapsus	4	6	8.27	5.55
Verbascum_thapsus	5	1	7.16	4.28
Verbascum_thapsus	5	2	6.65	4.93
Verbascum_thapsus	5	3	7.15	5.17
Verbascum_thapsus	5	4	7.12	4.34
Verbascum_thapsus	5	5	7.16	5.26
Verbascum_thapsus	5	6	7.27	5.93
