"","gs","uniqueID","sc","year","round","fdate","site","AM_PM","transect","treatment","L_R","genus","species","ssp","sex","detby","Taxonomy_notes","det_date","basicID","non_bee_desc1","plant_code","plant_genus_2013","plant_species_2013","plant_genus","plant_species","genus_species","planted","coll","lat","lon","spec_notes","plant_check1","plant_check2","error_redo","problem.","meanIT","meantongue"
"14","Bombus_griseocollis","NAT.CIG2012_0147","2012_ABC",2012,1,"6/19/12","AB","AM",2,"C","R","Bombus","griseocollis","","m","J.Ascher","","0000-00-00","bee",NA,"ASSY","Asclepias","syriaca","Asclepias","syriaca","Asclepias_syriaca","no","DPC",39.772882,-74.772184,"",NA,"","","",4.992607843,9.971809194
"15","Bombus_griseocollis","NAT.CIG2012_0562","2012_ABT",2012,2,"7/9/12","AB","PM",2,"T","L","Bombus","griseocollis","","m","J.Ascher","","0000-00-00","bee",NA,"MOFI","Monarda","fistulosa","Monarda","fistulosa","Monarda_fistulosa","yes","DPC",39.780504,-74.767308,"",NA,"","","",4.992607843,9.971809194
"16","Bombus_griseocollis","NAT.CIG2012_0171","2012_ABC",2012,1,"6/19/12","AB","PM",2,"C","R","Bombus","griseocollis","","m","J.Ascher","","0000-00-00","bee",NA,"ASSY","Asclepias","syriaca","Asclepias","syriaca","Asclepias_syriaca","no","DPC",39.772882,-74.772184,"",NA,"","","",4.992607843,9.971809194
"17","Bombus_griseocollis","NAT.CIG2012_0170","2012_ABC",2012,1,"6/19/12","AB","PM",2,"C","R","Bombus","griseocollis","","m","J.Ascher","","0000-00-00","bee",NA,"ASSY","Asclepias","syriaca","Asclepias","syriaca","Asclepias_syriaca","no","DPC",39.772882,-74.772184,"",NA,"","","",4.992607843,9.971809194
"18","Bombus_griseocollis","NAT.CIG2012_0251","2012_ALT",2012,3,"7/27/12","AL","PM",3,"T","L","Bombus","griseocollis","","m","J.Ascher","","0000-00-00","bee",NA,"COLA5","Coreopsis ","lanceolata","Coreopsis","lanceolata","Coreopsis_lanceolata","yes","GKN",40.926863,-74.813052,"",NA,"","","",4.992607843,9.971809194
"19","Bombus_griseocollis","NAT.CIG2012_0204","2012_ABC",2012,1,"6/19/12","AB","PM",1,"C","L","Bombus","griseocollis","","m","J.Ascher","","0000-00-00","bee",NA,"ASSY","Asclepias","syriaca","Asclepias","syriaca","Asclepias_syriaca","no","GKN",39.772882,-74.772184,"",NA,"","","",4.992607843,9.971809194
"20","Bombus_griseocollis","NAT.CIG2012_0160","2012_ABC",2012,1,"6/19/12","AB","AM",2,"C","L","Bombus","griseocollis","","m","J.Ascher","","0000-00-00","bee",NA,"ASSY","Asclepias","syriaca","Asclepias","syriaca","Asclepias_syriaca","no","DPC",39.772882,-74.772184,"",NA,"","","",4.992607843,9.971809194
"21","Bombus_griseocollis","NAT.CIG2012_0565","2012_BWT",2012,1,"6/15/12","BW","PM",1,"T","R","Bombus","griseocollis","","m","J.Ascher","","0000-00-00","bee",NA,"COLA5","Coreopsis ","lanceolata","Coreopsis","lanceolata","Coreopsis_lanceolata","yes","GKN",39.536073,-74.932563,"",NA,"","","",4.992607843,9.971809194
"22","Bombus_griseocollis","NAT.CIG2012_0181","2012_ABC",2012,1,"6/19/12","AB","PM",2,"C","R","Bombus","griseocollis","","m","J.Ascher","","0000-00-00","bee",NA,"ASSY","Asclepias","syriaca","Asclepias","syriaca","Asclepias_syriaca","no","DPC",39.772882,-74.772184,"",NA,"","","",4.992607843,9.971809194
"23","Bombus_griseocollis","NAT.CIG2012_0150","2012_ABC",2012,1,"6/19/12","AB","AM",2,"C","R","Bombus","griseocollis","","m","J.Ascher","","0000-00-00","bee",NA,"ASSY","Asclepias","syriaca","Asclepias","syriaca","Asclepias_syriaca","no","DPC",39.772882,-74.772184,"",NA,"","","",4.992607843,9.971809194
"24","Bombus_griseocollis","NAT.CIG2012_0270","2012_BWT",2012,2,"7/2/12","BW","PM",3,"T","L","Bombus","griseocollis","","m","J.Ascher","","0000-00-00","bee",NA,"RUHI2","Rudbeckia","hirta","Rudbeckia","hirta","Rudbeckia_hirta","yes","BGJ",39.536073,-74.932563,"",NA,"","","",4.992607843,9.971809194
"25","Bombus_griseocollis","NAT.CIG2012_0289","2012_ROC",2012,2,"6/26/12","RO","PM",4,"C","R","Bombus","griseocollis","","m","J.Ascher","","0000-00-00","bee",NA,"ASSY","Asclepias","syriaca","Asclepias","syriaca","Asclepias_syriaca","no","GKN",40.885194,-75.013669,"",NA,"","","",4.992607843,9.971809194
"26","Bombus_griseocollis","NAT.CIG2012_0557","2012_ABT",2012,2,"7/9/12","AB","PM",2,"T","L","Bombus","griseocollis","","m","J.Ascher","","0000-00-00","bee",NA,"MOFI","Monarda","fistulosa","Monarda","fistulosa","Monarda_fistulosa","yes","DPC",39.780504,-74.767308,"",NA,"","","",4.992607843,9.971809194
"27","Bombus_griseocollis","NAT.CIG2012_0186","2012_ABC",2012,1,"6/19/12","AB","PM",2,"C","L","Bombus","griseocollis","","m","J.Ascher","","0000-00-00","bee",NA,"ASSY","Asclepias","syriaca","Asclepias","syriaca","Asclepias_syriaca","no","DPC",39.772882,-74.772184,"",NA,"","","",4.992607843,9.971809194
"28","Bombus_griseocollis","NAT.CIG2012_0561","2012_ABT",2012,2,"7/9/12","AB","PM",2,"T","L","Bombus","griseocollis","","m","J.Ascher","","0000-00-00","bee",NA,"MOFI","Monarda","fistulosa","Monarda","fistulosa","Monarda_fistulosa","yes","DPC",39.780504,-74.767308,"",NA,"","","",4.992607843,9.971809194
"29","Bombus_griseocollis","NAT.CIG2012_0332","2012_ABT",2012,2,"7/9/12","AB","AM",2,"T","R","Bombus","griseocollis","","f","J.Ascher","","0000-00-00","bee",NA,"MOFI","Monarda","fistulosa","Monarda","fistulosa","Monarda_fistulosa","yes","DPC",39.780504,-74.767308,"",NA,"","","",4.992607843,9.971809194
"30","Bombus_griseocollis","NAT.CIG2012_0175","2012_ABC",2012,1,"6/19/12","AB","PM",2,"C","R","Bombus","griseocollis","","m","J.Ascher","","0000-00-00","bee",NA,"ASSY","Asclepias","syriaca","Asclepias","syriaca","Asclepias_syriaca","no","DPC",39.772882,-74.772184,"",NA,"","","",4.992607843,9.971809194
"31","Bombus_griseocollis","NAT.CIG2012_0566","2012_BWT",2012,1,"6/15/12","BW","PM",3,"T","L","Bombus","griseocollis","","m","J.Ascher","","0000-00-00","bee",NA,"GAPU","Gaillardia","pulchella","Gaillardia","pulchella","Gaillardia_pulchella","yes","DPC",39.536073,-74.932563,"",1,"","","",4.992607843,9.971809194
"32","Bombus_griseocollis","NAT.CIG2012_0213","2012_ABT",2012,1,"6/19/12","AB","PM",4,"T","L","Bombus","griseocollis","","m","J.Ascher","","0000-00-00","bee",NA,"RUHI2","Rudbeckia","hirta","Rudbeckia","hirta","Rudbeckia_hirta","yes","BGJ",39.780504,-74.767308,"",NA,"","","",4.992607843,9.971809194
"33","Bombus_griseocollis","NAT.CIG2012_0308","2012_MAT",2012,2,"6/28/12","MA","AM",2,"T","R","Bombus","griseocollis","","q","J.Ascher","","0000-00-00","bee",NA,"MOFI","Monarda","fistulosa","Monarda","fistulosa","Monarda_fistulosa","yes","BGJ",39.263113,-74.719499,"",NA,"","","",4.992607843,9.971809194
"34","Bombus_griseocollis","NAT.CIG2012_0299","2012_ROT",2012,2,"6/26/12","RO","AM",4,"T","L","Bombus","griseocollis","","m","J.Ascher","","0000-00-00","bee",NA,"COLA5","Coreopsis ","lanceolata","Coreopsis","lanceolata","Coreopsis_lanceolata","yes","GKN",40.884492,-75.012517,"",NA,"","","",4.992607843,9.971809194
"35","Bombus_griseocollis","NAT.CIG2012_0145","2012_ABC",2012,1,"6/19/12","AB","AM",2,"C","R","Bombus","griseocollis","","m","J.Ascher","","0000-00-00","bee",NA,"ASSY","Asclepias","syriaca","Asclepias","syriaca","Asclepias_syriaca","no","DPC",39.772882,-74.772184,"",NA,"","","",4.992607843,9.971809194
"36","Bombus_griseocollis","NAT.CIG2012_0158","2012_ABC",2012,1,"6/19/12","AB","AM",2,"C","L","Bombus","griseocollis","","m","J.Ascher","","0000-00-00","bee",NA,"ASSY","Asclepias","syriaca","Asclepias","syriaca","Asclepias_syriaca","no","DPC",39.772882,-74.772184,"",NA,"","","",4.992607843,9.971809194
"37","Bombus_griseocollis","NAT.CIG2012_0183","2012_ABC",2012,1,"6/19/12","AB","PM",2,"C","L","Bombus","griseocollis","","m","J.Ascher","","0000-00-00","bee",NA,"ASSY","Asclepias","syriaca","Asclepias","syriaca","Asclepias_syriaca","no","DPC",39.772882,-74.772184,"",NA,"","","",4.992607843,9.971809194
"38","Bombus_griseocollis","NAT.CIG2012_0229","2012_ABT",2012,2,"7/9/12","AB","AM",2,"T","R","Bombus","griseocollis","","m","J.Ascher","","0000-00-00","bee",NA,"MOFI","Monarda","fistulosa","Monarda","fistulosa","Monarda_fistulosa","yes","DPC",39.780504,-74.767308,"",NA,"","","",4.992607843,9.971809194
"39","Bombus_griseocollis","NAT.CIG2012_0300","2012_ABT",2012,2,"7/9/12","AB","AM",2,"T","L","Bombus","griseocollis","","q","J.Ascher","","0000-00-00","bee",NA,"MOFI","Monarda","fistulosa","Monarda","fistulosa","Monarda_fistulosa","yes","DPC",39.780504,-74.767308,"",NA,"","","",4.992607843,9.971809194
"40","Bombus_griseocollis","NAT.CIG2012_0301","2012_ABT",2012,2,"7/9/12","AB","AM",2,"T","L","Bombus","griseocollis","","q","J.Ascher","","0000-00-00","bee",NA,"MOFI","Monarda","fistulosa","Monarda","fistulosa","Monarda_fistulosa","yes","DPC",39.780504,-74.767308,"",NA,"","","",4.992607843,9.971809194
"41","Bombus_griseocollis","NAT.CIG2012_0302","2012_ABT",2012,2,"7/9/12","AB","AM",2,"T","R","Bombus","griseocollis","","q","J.Ascher","","0000-00-00","bee",NA,"MOFI","Monarda","fistulosa","Monarda","fistulosa","Monarda_fistulosa","yes","DPC",39.780504,-74.767308,"",NA,"","","",4.992607843,9.971809194
"42","Bombus_griseocollis","NAT.CIG2012_0580","2012_ROC",2012,2,"6/26/12","RO","AM",3,"C","L","Bombus","griseocollis","","m","J.Ascher","","0000-00-00","bee",NA,"ASSY","Asclepias","syriaca","Asclepias","syriaca","Asclepias_syriaca","no","GKN",40.885194,-75.013669,"",NA,"","","",4.992607843,9.971809194
"43","Bombus_griseocollis","NAT.CIG2012_0367","2012_ROT",2012,1,"5/31/12","RO","AM",1,"T","R","Bombus","griseocollis","","f","J.Ascher","","0000-00-00","bee",NA,"TRRE3","Trifolium","repens","Trifolium","repens","Trifolium_repens","no","JWB",40.884492,-75.012517,"",NA,"","","",4.992607843,9.971809194
"44","Bombus_griseocollis","NAT.CIG2012_0579","2012_MAT",2012,2,"6/28/12","MA","AM",4,"T","L","Bombus","griseocollis","","m","J.Ascher","","0000-00-00","bee",NA,"RUHI2","Rudbeckia","hirta","Rudbeckia","hirta","Rudbeckia_hirta","yes","JWB",39.263113,-74.719499,"",NA,"","","",4.992607843,9.971809194
"45","Bombus_griseocollis","NAT.CIG2012_0330","2012_ABT",2012,2,"7/9/12","AB","AM",1,"T","L","Bombus","griseocollis","","f","J.Ascher","","0000-00-00","bee",NA,"MOFI","Monarda","fistulosa","Monarda","fistulosa","Monarda_fistulosa","yes","BGJ",39.780504,-74.767308,"",NA,"","","",4.992607843,9.971809194
"46","Bombus_griseocollis","NAT.CIG2012_0154","2012_ABC",2012,1,"6/19/12","AB","AM",2,"C","R","Bombus","griseocollis","","m","J.Ascher","","0000-00-00","bee",NA,"ASSY","Asclepias","syriaca","Asclepias","syriaca","Asclepias_syriaca","no","DPC",39.772882,-74.772184,"",NA,"","","",4.992607843,9.971809194
"47","Bombus_griseocollis","NAT.CIG2012_0177","2012_ABC",2012,1,"6/19/12","AB","PM",2,"C","R","Bombus","griseocollis","","m","J.Ascher","","0000-00-00","bee",NA,"ASSY","Asclepias","syriaca","Asclepias","syriaca","Asclepias_syriaca","no","DPC",39.772882,-74.772184,"",NA,"","","",4.992607843,9.971809194
"48","Bombus_griseocollis","NAT.CIG2012_0326","2012_ABT",2012,1,"6/19/12","AB","PM",2,"T","L","Bombus","griseocollis","","f","J.Ascher","","0000-00-00","bee",NA,"TRAR4","Trifolium","arvense","Trifolium","arvense","Trifolium_arvense","no","DPC",39.780504,-74.767308,"",NA,"","","",4.992607843,9.971809194
"49","Bombus_griseocollis","NAT.CIG2012_0194","2012_ABC",2012,1,"6/19/12","AB","PM",2,"C","L","Bombus","griseocollis","","m","J.Ascher","","0000-00-00","bee",NA,"ASSY","Asclepias","syriaca","Asclepias","syriaca","Asclepias_syriaca","no","DPC",39.772882,-74.772184,"",NA,"","","",4.992607843,9.971809194
"50","Bombus_griseocollis","NAT.CIG2012_0318","2012_ABC",2012,1,"6/19/12","AB","PM",1,"C","L","Bombus","griseocollis","","f","J.Ascher","","0000-00-00","bee",NA,"ASSY","Asclepias","syriaca","Asclepias","syriaca","Asclepias_syriaca","no","GKN",39.772882,-74.772184,"",NA,"","","",4.992607843,9.971809194
"51","Bombus_griseocollis","NAT.CIG2012_0321","2012_ABT",2012,1,"6/19/12","AB","PM",3,"T","L","Bombus","griseocollis","","f","J.Ascher","","0000-00-00","bee",NA,"RUHI2","Rudbeckia","hirta","Rudbeckia","hirta","Rudbeckia_hirta","yes","JWB",39.780504,-74.767308,"",NA,"","","",4.992607843,9.971809194
"52","Bombus_griseocollis","NAT.CIG2012_0182","2012_ABC",2012,1,"6/19/12","AB","PM",2,"C","L","Bombus","griseocollis","","m","J.Ascher","","0000-00-00","bee",NA,"ASSY","Asclepias","syriaca","Asclepias","syriaca","Asclepias_syriaca","no","DPC",39.772882,-74.772184,"",NA,"","","",4.992607843,9.971809194
"53","Bombus_griseocollis","NAT.CIG2012_0159","2012_ABC",2012,1,"6/19/12","AB","AM",2,"C","L","Bombus","griseocollis","","m","J.Ascher","","0000-00-00","bee",NA,"ASSY","Asclepias","syriaca","Asclepias","syriaca","Asclepias_syriaca","no","DPC",39.772882,-74.772184,"",NA,"","","",4.992607843,9.971809194
"54","Bombus_griseocollis","NAT.CIG2012_0248","2012_ABT",2012,2,"7/9/12","AB","PM",4,"T","R","Bombus","griseocollis","","m","J.Ascher","","0000-00-00","bee",NA,"MOFI","Monarda","fistulosa","Monarda","fistulosa","Monarda_fistulosa","yes","DPC",39.780504,-74.767308,"",NA,"","","",4.992607843,9.971809194
"55","Bombus_griseocollis","NAT.CIG2012_0306","2012_ABT",2012,2,"7/9/12","AB","PM",4,"T","R","Bombus","griseocollis","","q","J.Ascher","","0000-00-00","bee",NA,"MOFI","Monarda","fistulosa","Monarda","fistulosa","Monarda_fistulosa","yes","DPC",39.780504,-74.767308,"",NA,"","","",4.992607843,9.971809194
"56","Bombus_griseocollis","NAT.CIG2012_0582","2012_ABT",2012,2,"7/9/12","AB","PM",2,"T","L","Bombus","griseocollis","","f","J.Ascher","","0000-00-00","bee",NA,"MOFI","Monarda","fistulosa","Monarda","fistulosa","Monarda_fistulosa","yes","DPC",39.780504,-74.767308,"",NA,"","","",4.992607843,9.971809194
"57","Bombus_griseocollis","NAT.CIG2012_0329","2012_ABT",2012,2,"7/9/12","AB","AM",1,"T","L","Bombus","griseocollis","","f","J.Ascher","","0000-00-00","bee",NA,"MOFI","Monarda","fistulosa","Monarda","fistulosa","Monarda_fistulosa","yes","BGJ",39.780504,-74.767308,"",NA,"","","",4.992607843,9.971809194
"58","Bombus_griseocollis","NAT.CIG2012_0571","2012_MAT",2012,2,"6/28/12","MA","AM",4,"T","L","Bombus","griseocollis","","m","J.Ascher","","0000-00-00","bee",NA,"HEHE5","Heliopsis","helianthoides","Heliopsis","helianthoides","Heliopsis_helianthoides","yes","JWB",39.263113,-74.719499,"",NA,"","","",4.992607843,9.971809194
"59","Bombus_griseocollis","NAT.CIG2012_0225","2012_ABT",2012,2,"7/9/12","AB","AM",2,"T","R","Bombus","griseocollis","","m","J.Ascher","","0000-00-00","bee",NA,"MOFI","Monarda","fistulosa","Monarda","fistulosa","Monarda_fistulosa","yes","DPC",39.780504,-74.767308,"",NA,"","","",4.992607843,9.971809194
"60","Bombus_griseocollis","NAT.CIG2012_0348","2012_ROC",2012,2,"6/26/12","RO","PM",3,"C","L","Bombus","griseocollis","","f","J.Ascher","","0000-00-00","bee",NA,"ASSY","Asclepias","syriaca","Asclepias","syriaca","Asclepias_syriaca","no","GKN",40.885194,-75.013669,"",NA,"","","",4.992607843,9.971809194
"61","Bombus_griseocollis","NAT.CIG2012_0178","2012_ABC",2012,1,"6/19/12","AB","PM",2,"C","R","Bombus","griseocollis","","m","J.Ascher","","0000-00-00","bee",NA,"ASSY","Asclepias","syriaca","Asclepias","syriaca","Asclepias_syriaca","no","DPC",39.772882,-74.772184,"",NA,"","","",4.992607843,9.971809194
"62","Bombus_griseocollis","NAT.CIG2012_0227","2012_ABT",2012,2,"7/9/12","AB","AM",2,"T","R","Bombus","griseocollis","","m","J.Ascher","","0000-00-00","bee",NA,"MOFI","Monarda","fistulosa","Monarda","fistulosa","Monarda_fistulosa","yes","DPC",39.780504,-74.767308,"",NA,"","","",4.992607843,9.971809194
"63","Bombus_griseocollis","NAT.CIG2012_0180","2012_ABC",2012,1,"6/19/12","AB","PM",2,"C","R","Bombus","griseocollis","","m","J.Ascher","","0000-00-00","bee",NA,"ASSY","Asclepias","syriaca","Asclepias","syriaca","Asclepias_syriaca","no","DPC",39.772882,-74.772184,"",NA,"","","",4.992607843,9.971809194
"64","Bombus_griseocollis","NAT.CIG2012_0610","2012_MAT",2012,2,"6/28/12","MA","AM",3,"T","L","Bombus","griseocollis","","f","J.Ascher","","0000-00-00","bee",NA,"MOFI","Monarda","fistulosa","Monarda","fistulosa","Monarda_fistulosa","yes","DPC",39.263113,-74.719499,"",NA,"","","",4.992607843,9.971809194
"65","Bombus_griseocollis","NAT.CIG2012_0203","2012_ABC",2012,1,"6/19/12","AB","PM",1,"C","L","Bombus","griseocollis","","m","J.Ascher","","0000-00-00","bee",NA,"ASSY","Asclepias","syriaca","Asclepias","syriaca","Asclepias_syriaca","no","GKN",39.772882,-74.772184,"",NA,"","","",4.992607843,9.971809194
"66","Bombus_griseocollis","NAT.CIG2012_0313","2012_ABC",2012,1,"6/19/12","AB","PM",2,"C","R","Bombus","griseocollis","","f","J.Ascher","","0000-00-00","bee",NA,"ASSY","Asclepias","syriaca","Asclepias","syriaca","Asclepias_syriaca","no","DPC",39.772882,-74.772184,"",NA,"","","",4.992607843,9.971809194
"67","Bombus_griseocollis","NAT.CIG2012_0314","2012_ABC",2012,1,"6/19/12","AB","PM",2,"C","R","Bombus","griseocollis","","f","J.Ascher","","0000-00-00","bee",NA,"ASSY","Asclepias","syriaca","Asclepias","syriaca","Asclepias_syriaca","no","DPC",39.772882,-74.772184,"",NA,"","","",4.992607843,9.971809194
"68","Bombus_griseocollis","NAT.CIG2012_0241","2012_ABT",2012,2,"7/9/12","AB","PM",2,"T","R","Bombus","griseocollis","","m","J.Ascher","","0000-00-00","bee",NA,"MOFI","Monarda","fistulosa","Monarda","fistulosa","Monarda_fistulosa","yes","DPC",39.780504,-74.767308,"",NA,"","","",4.992607843,9.971809194
"69","Bombus_griseocollis","NAT.CIG2012_0185","2012_ABC",2012,1,"6/19/12","AB","PM",2,"C","L","Bombus","griseocollis","","m","J.Ascher","","0000-00-00","bee",NA,"ASSY","Asclepias","syriaca","Asclepias","syriaca","Asclepias_syriaca","no","DPC",39.772882,-74.772184,"",NA,"","","",4.992607843,9.971809194
"70","Bombus_griseocollis","NAT.CIG2012_0574","2012_MAT",2012,2,"6/28/12","MA","PM",3,"T","L","Bombus","griseocollis","","m","J.Ascher","","0000-00-00","bee",NA,"HEHE5","Heliopsis","helianthoides","Heliopsis","helianthoides","Heliopsis_helianthoides","yes","DPC",39.263113,-74.719499,"",NA,"","","",4.992607843,9.971809194
"71","Bombus_griseocollis","NAT.CIG2012_0189","2012_ABC",2012,1,"6/19/12","AB","PM",2,"C","L","Bombus","griseocollis","","m","J.Ascher","","0000-00-00","bee",NA,"ASSY","Asclepias","syriaca","Asclepias","syriaca","Asclepias_syriaca","no","DPC",39.772882,-74.772184,"",NA,"","","",4.992607843,9.971809194
"72","Bombus_griseocollis","NAT.CIG2012_0368","2012_ROT",2012,2,"6/26/12","RO","AM",3,"T","L","Bombus","griseocollis","","f","J.Ascher","","0000-00-00","bee",NA,"COLA5","Coreopsis ","lanceolata","Coreopsis","lanceolata","Coreopsis_lanceolata","yes","GKN",40.884492,-75.012517,"",NA,"","","",4.992607843,9.971809194
"73","Bombus_griseocollis","NAT.CIG2012_0602","2012_MAT",2012,1,"6/14/12","MA","PM",3,"T","R","Bombus","griseocollis","","f","J.Ascher","","0000-00-00","bee",NA,"ASTU","Asclepias","tuberosa","Asclepias","tuberosa","Asclepias_tuberosa","yes","GKN",39.263113,-74.719499,"",NA,"","","",4.992607843,9.971809194
"74","Bombus_griseocollis","NAT.CIG2012_0311","2012_ABC",2012,1,"6/19/12","AB","AM",1,"C","R","Bombus","griseocollis","","f","J.Ascher","","0000-00-00","bee",NA,"ASSY","Asclepias","syriaca","Asclepias","syriaca","Asclepias_syriaca","no","GKN",39.772882,-74.772184,"",NA,"","","",4.992607843,9.971809194
"75","Bombus_griseocollis","NAT.CIG2012_0179","2012_ABC",2012,1,"6/19/12","AB","PM",2,"C","R","Bombus","griseocollis","","m","J.Ascher","","0000-00-00","bee",NA,"ASSY","Asclepias","syriaca","Asclepias","syriaca","Asclepias_syriaca","no","DPC",39.772882,-74.772184,"",NA,"","","",4.992607843,9.971809194
"76","Bombus_griseocollis","NAT.CIG2012_0350","2012_ROC",2012,2,"6/26/12","RO","PM",3,"C","L","Bombus","griseocollis","","f","J.Ascher","","0000-00-00","bee",NA,"ASSY","Asclepias","syriaca","Asclepias","syriaca","Asclepias_syriaca","no","GKN",40.885194,-75.013669,"",NA,"","","",4.992607843,9.971809194
"77","Bombus_griseocollis","NAT.CIG2012_0228","2012_ABT",2012,2,"7/9/12","AB","AM",2,"T","R","Bombus","griseocollis","","m","J.Ascher","","0000-00-00","bee",NA,"MOFI","Monarda","fistulosa","Monarda","fistulosa","Monarda_fistulosa","yes","DPC",39.780504,-74.767308,"",NA,"","","",4.992607843,9.971809194
"78","Bombus_griseocollis","NAT.CIG2012_0560","2012_ABT",2012,2,"7/9/12","AB","PM",2,"T","L","Bombus","griseocollis","","m","J.Ascher","","0000-00-00","bee",NA,"MOFI","Monarda","fistulosa","Monarda","fistulosa","Monarda_fistulosa","yes","DPC",39.780504,-74.767308,"",NA,"","","",4.992607843,9.971809194
"79","Bombus_griseocollis","NAT.CIG2012_0359","2012_ROT",2012,1,"6/1/12","RO","AM",3,"T","L","Bombus","griseocollis","","f","J.Ascher","","0000-00-00","bee",NA,"COLA5","Coreopsis ","lanceolata","Coreopsis","lanceolata","Coreopsis_lanceolata","yes","GKN",40.884492,-75.012517,"",NA,"","","",4.992607843,9.971809194
