uniqueID,sc,year,round,fdate,site,AM_PM,transect,treatment,L_R,genus,species,gs,sex,detby,Taxonomy_notes,det_date,basicID,non_bee_desc1,plant_code,plant_genus_2013,plant_species_2013,plant_genus,plant_species,genus_species,planted,coll,lat,lon,spec_notes,plant_check1,plant_check2,error_redo,problem?
NCIG2013_4762,2013_DandRT,2013,2,6/28/13,DR,AM,2,T,R,unkown,unkown,unkown_unkown,,,,0000-00-00,wasp,Small_yellow_striped_wasp___,ERAN,Erigeron,annuus,Erigeron,annuus,Erigeron_annuus,no,MR,40.298445,-74.56289,,NULL,,,
NCIG2013_3797,2013_FHT,2013,2,7/8/13,FH,PM,1,T,R,Halictus,ligatus,Halictus_ligatus,f,J_Gibbs,,0000-00-00,bee,,ERAN,Erigeron,annuus,Erigeron,annuus,Erigeron_annuus,no,JZ,40.695583,-74.755843,,NULL,,,
NCIG2013_2449,2013_SHT,2013,1,6/17/13,SH,AM,4,T,L,Halictus,ligatus,Halictus_ligatus,f,J_Gibbs,,0000-00-00,bee,,Erigeron,Erigeron,CHECK,Erigeron,annuus_seeTN,Erigeron_annuus,no,MR,39.330081,-75.251231,,3,,,
NCIG2013_2450,2013_SHT,2013,1,6/17/13,SH,AM,4,T,L,Heriades,carinatus,Heriades_carinatus,m,J_Gibbs,,0000-00-00,bee,,Erigeron,Erigeron,CHECK,Erigeron,annuus_seeTN,Erigeron_annuus,no,MR,39.330081,-75.251231,,3,,,
NCIG2013_2454,2013_SHT,2013,1,6/17/13,SH,AM,4,T,R,Halictus,ligatus,Halictus_ligatus,f,J_Gibbs,,0000-00-00,bee,,Erigeron,Erigeron,CHECK,Erigeron,annuus_seeTN,Erigeron_annuus,no,MR,39.330081,-75.251231,,3,,,
NCIG2013_2019,2013_DandRT,2013,1,5/30/13,DR,AM,1,T,L,Halictus,ligatus,Halictus_ligatus,f,J_Gibbs,,0000-00-00,bee,,ERPH,Erigeron,philadelphicus,Erigeron,philadelphicus,Erigeron_species,no,GP,40.298445,-74.56289,,NULL,,,
NCIG2013_2020,2013_DandRT,2013,1,5/30/13,DR,AM,1,T,L,Ceratina,dupla,Ceratina_dupla,m,J_Gibbs,,0000-00-00,bee,,ERPH,Erigeron,philadelphicus,Erigeron,philadelphicus,Erigeron_species,no,GP,40.298445,-74.56289,,NULL,,,
NCIG2013_2021,2013_DandRT,2013,1,5/30/13,DR,AM,1,T,L,Hylaeus,affinis,Hylaeus_affinis,m,J_Gibbs,,0000-00-00,bee,,ERPH,Erigeron,philadelphicus,Erigeron,philadelphicus,Erigeron_species,no,GP,40.298445,-74.56289,,NULL,,,
NCIG2013_2022,2013_DandRT,2013,1,5/30/13,DR,AM,1,T,L,Ceratina,calcarata,Ceratina_calcarata,m,J_Gibbs,,0000-00-00,bee,,ERPH,Erigeron,philadelphicus,Erigeron,philadelphicus,Erigeron_species,no,GP,40.298445,-74.56289,,NULL,,,
NCIG2013_2025,2013_DandRT,2013,1,5/30/13,DR,AM,1,T,R,Lasioglossum,pectorale,Lasioglossum_pectorale,f,J_Gibbs,,0000-00-00,bee,,ERPH,Erigeron,philadelphicus,Erigeron,philadelphicus,Erigeron_species,no,GP,40.298445,-74.56289,,NULL,,,
NCIG2013_2042,2013_DandRT,2013,1,5/30/13,DR,AM,2,T,L,Ceratina,strenua,Ceratina_strenua,f,J_Gibbs,,0000-00-00,bee,,ERPH,Erigeron,philadelphicus,Erigeron,philadelphicus,Erigeron_species,no,SM,40.298445,-74.56289,,NULL,,,
NCIG2013_2026,2013_DandRT,2013,1,5/30/13,DR,PM,2,T,R,Augochlorella,aurata,Augochlorella_aurata,f,J_Gibbs,,0000-00-00,bee,,TRRE3,Trifolium,repens,Trifolium,repens,Trifolium_repens,no,SM,40.298445,-74.56289,,NULL,,,
NCIG2013_2027,2013_DandRT,2013,1,5/30/13,DR,PM,2,T,R,Augochlorella,aurata,Augochlorella_aurata,f,J_Gibbs,,0000-00-00,bee,,TRRE3,Trifolium,repens,Trifolium,repens,Trifolium_repens,no,SM,40.298445,-74.56289,,NULL,,,
NCIG2013_2029,2013_DandRT,2013,1,5/30/13,DR,PM,1,T,L,Ceratina,strenua,Ceratina_strenua,f,J_Gibbs,,0000-00-00,bee,,ERPH,Erigeron,philadelphicus,Erigeron,philadelphicus,Erigeron_species,no,GP,40.298445,-74.56289,,NULL,,,
NCIG2013_2040,2013_DandRT,2013,1,5/30/13,DR,PM,4,T,R,Ceratina,calcarata,Ceratina_calcarata,m,J_Gibbs,,0000-00-00,bee,,TRDU2,Trifolium,dubium,Trifolium,dubium,Trifolium_dubium,no,MR,40.298445,-74.56289,,NULL,,,
NCIG2013_2131,2013_FHT,2013,1,6/6/13,FH,PM,3,T,L,Bombus,griseocollis,Bombus_griseocollis,m,J_Gibbs,,0000-00-00,bee,,COLA5,Coreopsis,lanceolata,Coreopsis,lanceolata,Coreopsis_lanceolata,yes,JZ,40.695583,-74.755843,,NULL,,,
NCIG2013_2133,2013_FHT,2013,1,6/6/13,FH,PM,3,T,L,Andrena,imitatrix,Andrena_imitatrix,f,J_Gibbs,,0000-00-00,bee,,COLA5,Coreopsis,lanceolata,Coreopsis,lanceolata,Coreopsis_lanceolata,yes,JZ,40.695583,-74.755843,,NULL,,,
NCIG2013_2091,2013_FHT,2013,1,6/6/13,FH,PM,4,T,R,Agapostemon,virescens,Agapostemon_virescens,f,J_Gibbs,,0000-00-00,bee,,COLA5,Coreopsis,lanceolata,Coreopsis,lanceolata,Coreopsis_lanceolata,yes,MR,40.695583,-74.755843,,NULL,,,
