"","genus_species","gs","uniqueID","sc","year","round","fdate","site","AM_PM","transect","treatment","L_R","genus","species","ssp","sex","detby","Taxonomy_notes","det_date","basicID","non_bee_desc1","plant_code.x","plant_genus_2013","plant_species_2013","plant_genus.x","plant_species.x","planted","coll","lat","lon","spec_notes","plant_check1","plant_check2","error_redo","problem.","meanIT","meantongue","plant_code.y","depth","width","plant_genus.y","plant_species.y"
"29","Rudbeckia_hirta","Halictus_ligatus_poeyi","NAT.CIG2012_0948","2012_DET",2012,2,"7/3/12","DF","AM",3,"T","R","Halictus","ligatus_poeyi","","f","J.Ascher","","0000-00-00","bee",NA,"RUHI2","Rudbeckia","hirta","Rudbeckia","hirta","yes","GKN",39.9198,-74.790006,"",NA,"","","",1.700098312,2.296858078,"RUHI2_d",1.661596945,0.376226697,"Rudbeckia","hirta"
"30","Rudbeckia_hirta","Ceratina_sp","NAT.CIG2012_0821","2012_DET",2012,2,"7/3/12","DF","PM",2,"T","R","Ceratina","sp","","","J.Ascher","","0000-00-00","bee",NA,"RUHI2","Rudbeckia","hirta","Rudbeckia","hirta","yes","BGJ",39.9198,-74.790006,"",NA,"","","",NA,NA,"RUHI2_d",1.661596945,0.376226697,"Rudbeckia","hirta"
"31","Rudbeckia_hirta","Ceratina_calcarata_dupla_mikmaqi","NAT.CIG2012_0704","2012_DET",2012,2,"7/3/12","DF","AM",4,"T","L","Ceratina","calcarata_dupla_mikmaqi","","f","J.Ascher","","0000-00-00","bee",NA,"RUHI2","Rudbeckia","hirta","Rudbeckia","hirta","yes","GKN",39.9198,-74.790006,"",NA,"","","",1.433914286,3.010522431,"RUHI2_d",1.661596945,0.376226697,"Rudbeckia","hirta"
"32","Rudbeckia_hirta","Halictus_ligatus_poeyi","NAT.CIG2012_0934","2012_DET",2012,2,"7/3/12","DF","AM",1,"T","L","Halictus","ligatus_poeyi","","f","J.Ascher","","0000-00-00","bee",NA,"RUHI2","Rudbeckia","hirta","Rudbeckia","hirta","yes","BGJ",39.9198,-74.790006,"",NA,"","","",1.700098312,2.296858078,"RUHI2_d",1.661596945,0.376226697,"Rudbeckia","hirta"
"33","Rudbeckia_hirta","Bombus_citrinus","NAT.CIG2012_0141","2012_DET",2012,2,"7/3/12","DF","AM",4,"T","L","Bombus","citrinus","","m","J.Ascher","","0000-00-00","bee",NA,"RUHI2","Rudbeckia","hirta","Rudbeckia","hirta","yes","GKN",39.9198,-74.790006,"",NA,"","","",4.092533333,8.239334597,"RUHI2_d",1.661596945,0.376226697,"Rudbeckia","hirta"
"34","Rudbeckia_hirta","Halictus_ligatus_poeyi","NAT.CIG2012_0922","2012_BWT",2012,4,"8/23/12","BW","AM",2,"T","R","Halictus","ligatus_poeyi","","f","J.Ascher","","0000-00-00","bee",NA,"RUHI2","Rudbeckia","hirta","Rudbeckia","hirta","yes","DPC",39.536073,-74.932563,"",NA,"","","",1.700098312,2.296858078,"RUHI2_d",1.661596945,0.376226697,"Rudbeckia","hirta"
"35","Rudbeckia_hirta","Halictus_ligatus_poeyi","NAT.CIG2012_0953","2012_DET",2012,2,"7/3/12","DF","AM",4,"T","L","Halictus","ligatus_poeyi","","f","J.Ascher","","0000-00-00","bee",NA,"RUHI2","Rudbeckia","hirta","Rudbeckia","hirta","yes","GKN",39.9198,-74.790006,"",NA,"","","",1.700098312,2.296858078,"RUHI2_d",1.661596945,0.376226697,"Rudbeckia","hirta"
"36","Rudbeckia_hirta","","NAT.CIG2012_1510","2012_DET",2012,2,"7/3/12","DF","AM",4,"T","L","?","","","","J.Ascher","","0000-00-00","?",NA,"RUHI2","0","0","Rudbeckia","hirta","yes","GKN",39.9198,-74.790006,"???",NA,"","","",NA,NA,"RUHI2_d",1.661596945,0.376226697,"Rudbeckia","hirta"
"37","Rudbeckia_hirta","","NAT.CIG2012_1410","2012_ABT",2012,2,"7/9/12","AB","AM",2,"T","L","","","","","J.Ascher","","0000-00-00","non-bee",NA,"RUHI","0","0","Rudbeckia","hirta","no","DPC",39.780504,-74.767308,"",NA,"","","",NA,NA,"RUHI2_d",1.661596945,0.376226697,"Rudbeckia","hirta"
"38","Rudbeckia_hirta","Bombus_impatiens","NAT.CIG2012_0419","2012_ALT",2012,3,"7/27/12","AL","AM",4,"T","L","Bombus","impatiens","","f","J.Ascher","","0000-00-00","bee",NA,"RUHI2","Rudbeckia","hirta","Rudbeckia","hirta","yes","BGJ",40.926863,-74.813052,"",NA,"","","",4.930735632,9.853144515,"RUHI2_d",1.661596945,0.376226697,"Rudbeckia","hirta"
