bees,sp.abund,sp.occur,stud.occ,Status_NA,source_Status_NA,Body_length_Mitchell,source_Body_length_Mitchell,Nest_place,source_Nest_place,Nest_construction,source_Nest_construction,Nest_materials,source_Nest_materials,habitat_specialist,source_habitat_specialist,Sociality,source_Sociality,Parasitic,source_Parasitic,Lecticity,source_Lecticity,Voltinism,source_Voltinism
Andrena_simplex,3,2,1,NorthEast,,9,,soil,,Excavator,,NA,,No,,Solitary,,No,,Oligolectic,,NA,
Bombus_auricomus,20,2,2,NorthEast,,20,,cavity,,Non_excavator,,NA,,No,,Eusocial,,No,,Polylectic,,Multivoltine,
Coelioxys_porterae,2,2,1,NorthEast,,10,,hole,,Non_excavator,,NA,,No,,Solitary,,Yes,,Polylectic,,NA,
Colletes_compactus,3,2,1,NorthEast,,12,,soil,,Excavator,,NA,,No,,Solitary,,No,,Oligolectic,,NA,
Heriades_leavitti,3,2,1,Native,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
Heriades_variolosus,2,2,1,NorthEast,,NA,,hole,,Non_excavator,,rasin,,No,,Solitary,,No,,Polylectic,,NA,
Lasioglossum_anomalum,3,2,1,NorthEast,,4.25,,soil,,Excavator,,NA,,No,,Eusocial,,No,,Polylectic,,NA,
Lasioglossum_atwoodi,2,2,2,NorthEast,,NA,,soil,,Excavator,,NA,,No,,Eusocial,,No,,Polylectic,,NA,
Lasioglossum_creberrimum,3,2,1,Native,,NA,,soil,,Excavator,,NA,,NA,,Eusocial,,No,,Polylectic,,NA,
Lasioglossum_katherineae,2,2,2,NorthEast,,NA,,soil,,Excavator,,NA,,No,,Eusocial,,No,,Polylectic,,NA,
Lasioglossum_nigroviride,2,2,1,NorthEast,,7,,soil,,Excavator,,NA,,No,,Eusocial,,No,,Polylectic,,NA,
Lasioglossum_planatum,2,2,1,NorthEast,,NA,,soil,,Excavator,,NA,,No,,Eusocial,,No,,Polylectic,,NA,
Lasioglossum_pruinosum,9,2,1,NorthEast,,6,,soil,,Excavator,,NA,,No,,Eusocial,,No,,Polylectic,,NA,
Lasioglossum_rozeni,2,2,2,NorthEast,,NA,,soil,,Non_excavator,,NA,,No,,Solitary,,Yes,,Polylectic,,NA,
Lasioglossum_smilacinae,2,2,2,NorthEast,,NA,,soil,,Excavator,,NA,,No,,Eusocial,,No,,Polylectic,,NA,
Lasioglossum_versans,4,2,1,NorthEast,,6,,soil,,Excavator,,NA,,No,,Eusocial,,No,,Polylectic,,NA,
Melissodes_druriella,2,2,2,NorthEast,,10.5,,soil,,Excavator,,NA,,No,,Solitary,,No,,Oligolectic,,Suspected_univoltine,
Melissodes_illata,5,2,1,NorthEast,,10.5,,soil,,Excavator,,NA,,No,,Solitary,,No,,Oligolectic,,NA,
Osmia_distincta,5,2,2,NorthEast,,9,,hole,,Non_excavator,,NA,,No,,Solitary,,No,,Polylectic,,NA,
Osmia_felti,2,2,2,NorthEast,,12,,hole,,Non_excavator,,NA,,No,,NA,,No,,NA,,NA,
Osmia_taurus,11,2,2,Exotic,,NA,,hole,,Non_excavator,,NA,,No,,Solitary,,No,,Polylectic,,NA,
Sphecodes_carolinus,2,2,1,NorthEast,,NA,,soil,,Non_excavator,,NA,,No,,Solitary,,Yes,,Polylectic,,NA,
Sphecodes_fattigi,2,2,2,NorthEast,,NA,,soil,,Non_excavator,,NA,,No,,Solitary,,Yes,,Polylectic,,NA,
Stelis_louisae,9,2,2,NorthEast,,8,,hole,,Non_excavator,,NA,,No,,Solitary,,Yes,,Polylectic,,NA,
Andrena_barbilabris,5,3,2,NorthEast,,10,,soil,,Excavator,,NA,,No,,Solitary,,No,,Polylectic,,Suspected_univoltine,
Andrena_hilaris,4,3,2,NorthEast,,13,,soil,,Excavator,,NA,,No,,Solitary,,No,,Polylectic,,Suspected_univoltine,
Andrena_personata,4,3,1,NorthEast,,6,,soil,,Excavator,,NA,,No,,Solitary,,No,,Polylectic,,NA,
Anthidiellum_notatum,7,3,2,NorthEast,,8,,stem,,Non_excavator,,NA,,No,,Solitary,,No,,Polylectic,,NA,
Augochlorella_persimilis,66,3,1,Native,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
Coelioxys_immaculata,4,3,2,NorthEast,,11.5,,hole,,Non_excavator,,NA,,No,,Solitary,,Yes,,Polylectic,,NA,
Coelioxys_octodentata,42,3,2,NorthEast,,10,,hole,,Non_excavator,,NA,,No,,Solitary,,Yes,,Polylectic,,NA,
Colletes_simulans,10,3,2,NorthEast,,10.5,,soil,,Excavator,,NA,,No,,Solitary,,No,,Oligolectic,,NA,
Hoplitis_spoliata,3,3,1,NorthEast,,11,,stem,,Excavator,,NA,,No,,Solitary,,No,,Polylectic,,NA,
Hylaeus_leptocephalus,3,3,2,Exotic,,5.5,,hole,,Non_excavator,,NA,,No,,Solitary,,No,,Oligolectic,,NA,
Lasioglossum_ellisiae,5,3,2,NorthEast,,NA,,soil,,Excavator,,NA,,No,,Eusocial,,No,,Polylectic,,NA,
Lithurgus_chrysurus,24,3,2,Exotic,,NA,,wood,,Excavator,,NA,,No,,fac_social,,No,,Oligolectic,,NA,
Megachile_montivaga,4,3,1,NorthEast,,12,,hole,,Non_excavator,,petals,,No,,Solitary,,No,,Polylectic,,NA,
Megachile_xylocopoides,13,3,1,NorthEast,,14.5,,hole,,Non_excavator,,leaf,,No,,Solitary,,No,,Polylectic,,NA,
Osmia_lignaria,3,3,2,NorthEast,,10.5,,hole,,Non_excavator,,NA,,No,,Solitary,,No,,Polylectic,,NA,
Perdita_octomaculata,3,3,2,NorthEast,,7,,soil,,Excavator,,NA,,No,,Solitary,,No,,Oligolectic,,Univoltine,
Sphecodes_dichrous,3,3,2,NorthEast,,NA,,soil,,Non_excavator,,NA,,No,,Solitary,,Yes,,Polylectic,,NA,
Andrena_alleghaniensis,5,4,2,NorthEast,,9,,soil,,Excavator,,NA,,No,,Solitary,,No,,Polylectic,,NA,
Andrena_cornelli,7,4,1,NorthEast,,NA,,soil,,Excavator,,NA,,No,,Solitary,,No,,Oligolectic,,Suspected_univoltine,
Andrena_erythronii,5,4,2,NorthEast,,11,,soil,,Excavator,,NA,,No,,Solitary,,No,,Oligolectic,,NA,
Bombus_pensylvanicus,76,4,3,NorthEast,,16,,cavity,,Non_excavator,,NA,,No,,Eusocial,,No,,Polylectic,,NA,
Heriades_carinata,7,4,1,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
Heriades_variolosa,7,4,2,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
Holcopasites_calliopsidis,4,4,2,NorthEast,,5.5,,soil,,Non_excavator,,NA,,No,,Solitary,,Yes,,Polylectic,,Multivoltine,
Megachile_campanulae,13,4,4,NorthEast,,10.5,,hole,,Non_excavator,,resin,,No,,Solitary,,No,,Polylectic,,Suspected_multivoltine,
Megachile_inimica,11,4,1,NorthEast,,14.5,,hole,,Non_excavator,,leaf & soil,,No,,Solitary,,No,,Polylectic,,NA,
Megachile_pugnata,24,4,1,NorthEast,,15,,hole,,Non_excavator,,leaf & mud,,No,,Solitary,,No,,Oligolectic,,NA,
Melissodes_trinodis,10,4,2,NorthEast,,11.5,,soil,,Excavator,,NA,,No,,Solitary,,No,,Oligolectic,,NA,
Nomada_luteola,4,4,2,NorthEast,,11.25,,soil,,Non_excavator,,NA,,No,,Solitary,,Yes,,Polylectic,,NA,
Panurginus_atramontensis,14,4,1,Native,,NA,,soil,,Excavator,,NA,,NA,,Solitary,,No,,Polylectic,,NA,
Panurginus_potentillae,18,4,2,NorthEast,,5,,soil,,Excavator,,NA,,No,,Solitary,,No,,Oligolectic,,Suspected_univoltine,
Andrena_forbesii,7,5,3,NorthEast,,10,,soil,,Excavator,,NA,,No,,Solitary,,No,,Polylectic,,NA,
Andrena_heraclei,6,5,3,NorthEast,,10,,soil,,Excavator,,NA,,No,,Solitary,,No,,NA,,NA,
Andrena_spiraeana,6,5,3,NorthEast,,10,,soil,,Excavator,,NA,,No,,Solitary,,No,,Polylectic,,NA,
Andrena_violae,14,5,1,NorthEast,,9,,soil,,Excavator,,NA,,No,,Solitary,,No,,Oligolectic,,NA,
Lasioglossum_birkmanni,5,5,3,Native,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
Lasioglossum_cattellae,9,5,1,NorthEast,,5.5,,soil,,Excavator,,NA,,No,,Eusocial,,No,,Polylectic,,Multivoltine,
Lasioglossum_foxii,6,5,3,NorthEast,,6.5,,soil,,Excavator,,NA,,No,,Solitary,,No,,Polylectic,,NA,
Lasioglossum_laevissimum,11,5,2,NorthEast,,6,,soil,,Excavator,,NA,,No,,Eusocial,,No,,Polylectic,,Multivoltine,
Lasioglossum_mitchelli,20,5,1,NorthEast,,NA,,soil,,Excavator,,NA,,No,,NA,,No,,Polylectic,,NA,
Lasioglossum_oenotherae,6,5,2,NorthEast,,NA,,soil,,Excavator,,NA,,No,,Solitary,,No,,Oligolectic,,NA,
Lasioglossum_platyparium,6,5,2,NorthEast,,4.75,,soil,,Non_excavator,,NA,,No,,Solitary,,Yes,,Polylectic,,NA,
Lasioglossum_sopinci,7,5,1,NorthEast,,7,,soil,,Excavator,,NA,,No,,Solitary,,No,,Polylectic,,Suspected_multivoltine,
Megachile_frugalis,6,5,2,NorthEast,,12.5,,hole,,Non_excavator,,leaf & soil,,No,,Solitary,,No,,Polylectic,,NA,
Megachile_sculpturalis,44,5,2,Exotic,,NA,,hole,,Non_excavator,,resin,,No,,Solitary,,No,,Polylectic,,NA,
Nomada_depressa,13,5,1,NorthEast,,9,,soil,,Non_excavator,,NA,,No,,Solitary,,Yes,,Polylectic,,NA,
Ptilothrix_bombiformis,28,5,4,NorthEast,,15.25,,soil,,Excavator,,NA,,No,,Solitary,,No,,Oligolectic,,NA,
Andrena_hippotes,10,6,3,NorthEast,,8,,soil,,Excavator,,NA,,No,,Solitary,,No,,Polylectic,,NA,
Andrena_rugosa,7,6,2,NorthEast,,9,,soil,,Excavator,,NA,,No,,Solitary,,No,,Polylectic,,NA,
Anthidium_manicatum,6,6,2,Exotic,,NA,,hole,,Non_excavator,,NA,,No,,Solitary,,No,,Polylectic,,NA,
Eucera_hamata,91,6,5,NorthEast,,16.5,,soil,,Excavator,,NA,,No,,Solitary,,No,,Polylectic,,Suspected_univoltine,
Lasioglossum_acuminatum,7,6,3,NorthEast,,NA,,soil,,Excavator,,NA,,No,,fac_social,,No,,Polylectic,,Suspected_multivoltine,
Lasioglossum_paradmirandum,33,6,4,NorthEast,,NA,,soil,,Excavator,,NA,,No,,Eusocial,,No,,Polylectic,,NA,
Lasioglossum_truncatum,9,6,4,NorthEast,,7,,soil,,Excavator,,NA,,No,,Eusocial,,No,,Polylectic,,Suspected_multivoltine,
Melissodes_subillata,22,6,2,NorthEast,,10.75,,soil,,Excavator,,NA,,No,,Solitary,,No,,Oligolectic,,NA,
Nomada_lehighensis,6,6,1,NorthEast,,7.25,,soil,,Non_excavator,,NA,,No,,Solitary,,Yes,,Polylectic,,NA,
Nomada_lepida,6,6,1,NorthEast,,NA,,soil,,Non_excavator,,NA,,No,,Solitary,,Yes,,Polylectic,,NA,
Osmia_bucephala,10,6,2,NorthEast,,15.5,,hole,,Non_excavator,,NA,,No,,Solitary,,No,,Polylectic,,NA,
Sphecodes_atlantis,10,6,3,NorthEast,,NA,,soil,,Non_excavator,,NA,,No,,Solitary,,Yes,,Polylectic,,NA,
Agapostemon_sericeus,8,7,4,NorthEast,,NA,,soil,,Excavator,,NA,,No,,fac_social,,No,,Polylectic,,Suspected_multivoltine,
Andrena_arabis,7,7,4,NorthEast,,9,,soil,,Excavator,,NA,,No,,Solitary,,No,,Oligolectic,,Univoltine,
Andrena_banksi,11,7,2,NorthEast,,11,,soil,,Excavator,,NA,,No,,Solitary,,No,,Polylectic,,Univoltine,
Andrena_barbara,10,7,5,NorthEast,,NA,,soil,,Excavator,,NA,,No,,Solitary,,No,,Polylectic,,Suspected_univoltine,
Andrena_fenningeri,7,7,3,NorthEast,,9,,soil,,Excavator,,NA,,No,,Solitary,,No,,Polylectic,,Suspected_univoltine,
Halictus_parallelus,99,7,5,NorthEast,,NA,,soil,,Excavator,,NA,,Sand,,Eusocial,,No,,Polylectic,,NA,
Heriades_carinatus,14,7,3,NorthEast,,NA,,hole,,Non_excavator,,rasin,,No,,Solitary,,No,,Polylectic,,NA,
Lasioglossum_floridanum,23,7,2,Native,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
Lasioglossum_lineatulum,9,7,3,NorthEast,,6,,soil,,Excavator,,NA,,No,,Eusocial,,No,,Polylectic,,NA,
Lasioglossum_nelumbonis,10,7,1,NorthEast,,8,,soil,,Excavator,,NA,,No,,Solitary,,No,,Oligolectic,,NA,
Lasioglossum_viridatum,10,7,4,NorthEast,,5.5,,soil,,Excavator,,NA,,No,,Eusocial,,No,,Polylectic,,NA,
Megachile_exilis,23,7,4,NorthEast,,9.5,,hole,,Non_excavator,,NA,,No,,Solitary,,No,,Polylectic,,Suspected_multivoltine,
Megachile_gemula,17,7,1,NorthEast,,13.5,,hole,,Non_excavator,,leaf,,No,,Solitary,,No,,Polylectic,,NA,
Megachile_texana,233,7,4,NorthEast,,12.5,,hole,,Non_excavator,,leaf,,No,,Solitary,,No,,Polylectic,,Suspected_multivoltine,
Nomada_australis,10,7,2,NorthEast,,NA,,soil,,Non_excavator,,NA,,No,,Solitary,,Yes,,Polylectic,,Suspected_multivoltine,
Nomada_denticulata,39,7,1,NorthEast,,7.8,,soil,,Non_excavator,,NA,,No,,Solitary,,Yes,,Polylectic,,NA,
Osmia_inspergens,11,7,2,NorthEast,,10,,hole,,Non_excavator,,NA,,No,,Solitary,,No,,Polylectic,,NA,
Andrena_dunningi,9,8,2,NorthEast,,10,,soil,,Excavator,,NA,,No,,Solitary,,No,,Polylectic,,NA,
Andrena_robertsonii,9,8,1,NorthEast,,9,,soil,,Excavator,,NA,,No,,Solitary,,No,,Polylectic,,NA,
Anthidium_oblongatum,13,8,6,Exotic,,NA,,hole,,Non_excavator,,NA,,No,,Solitary,,No,,Polylectic,,Suspected_multivoltine,
Lasioglossum_gotham,14,8,6,NorthEast,,NA,,soil,,Excavator,,NA,,No,,Eusocial,,No,,Polylectic,,NA,
Melissodes_denticulata,69,8,2,NorthEast,,10.25,,soil,,Excavator,,NA,,No,,Solitary,,No,,Oligolectic,,NA,
Nomada_ovata,8,8,2,NorthEast,,NA,,soil,,Non_excavator,,NA,,No,,Solitary,,Yes,,Polylectic,,NA,
Sphecodes_confertus,15,8,2,NorthEast,,NA,,soil,,Non_excavator,,NA,,No,,Solitary,,Yes,,Polylectic,,NA,
Sphecodes_mandibularis,14,8,4,NorthEast,,NA,,soil,,Non_excavator,,NA,,No,,Solitary,,Yes,,Polylectic,,NA,
Andrena_morrisonella,26,9,6,NorthEast,,10,,soil,,Excavator,,NA,,No,,Solitary,,No,,Polylectic,,NA,
Chelostoma_philadelphi,14,9,3,NorthEast,,8,,hole,,NA,,NA,,No,,Solitary,,No,,Oligolectic,,NA,
Hoplitis_pilosifrons,27,9,5,NorthEast,,NA,,stem,,Excavator,,NA,,No,,Solitary,,No,,Polylectic,,NA,
Lasioglossum_macoupinense,13,9,1,NorthEast,,6,,soil,,Excavator,,NA,,No,,Solitary,,No,,Polylectic,,Suspected_multivoltine,
Lasioglossum_timothyi,13,9,1,NorthEast,,NA,,soil,,Excavator,,NA,,No,,Eusocial,,No,,Polylectic,,NA,
Lasioglossum_vierecki,657,9,3,NorthEast,,4,,soil,,Excavator,,NA,,No,,Solitary,,No,,Polylectic,,NA,
Megachile_addenda,17,9,2,NorthEast,,12.5,,soil,,Excavator,,NA,,No,,Solitary,,No,,Polylectic,,NA,
Nomada_cressonii,10,9,3,NorthEast,,9,,soil,,Non_excavator,,NA,,No,,Solitary,,Yes,,Polylectic,,NA,
Triepeolus_remigatus,110,9,4,NorthEast,,12,,soil,,Non_excavator,,NA,,No,,Solitary,,Yes,,Polylectic,,NA,
Hoplitis_producta,14,10,5,NorthEast,,8,,stem,,Excavator,,NA,,No,,Solitary,,No,,Polylectic,,NA,
Lasioglossum_admirandum,20,10,5,NorthEast,,5.25,,soil,,Excavator,,NA,,No,,Eusocial,,No,,Polylectic,,Multivoltine,
Lasioglossum_coreopsis,34,10,4,NorthEast,,4,,soil,,Excavator,,NA,,No,,Eusocial,,No,,Polylectic,,Multivoltine,
Lasioglossum_zephyrum,29,10,7,NorthEast,,6,,soil,,Excavator,,NA,,No,,Eusocial,,No,,Polylectic,,Suspected_multivoltine,
Megachile_brevis,138,10,3,NorthEast,,10.5,,hole,,Non_excavator,,leaf,,No,,Solitary,,No,,Polylectic,,Suspected_multivoltine,
Nomada_articulata,19,10,5,NorthEast,,8.5,,soil,,Non_excavator,,NA,,No,,Solitary,,Yes,,Polylectic,,Suspected_multivoltine,
Osmia_georgica,10,10,3,NorthEast,,9,,hole,,Non_excavator,,NA,,No,,Solitary,,No,,Polylectic,,NA,
Andrena_pruni,28,11,3,NorthEast,,10,,soil,,Excavator,,NA,,No,,Solitary,,No,,Polylectic,,NA,
Hoplitis_truncata,17,11,2,NorthEast,,9,,stem,,Excavator,,NA,,No,,Solitary,,No,,Polylectic,,NA,
Lasioglossum_quebecense,156,11,3,NorthEast,,7,,soil,,Excavator,,NA,,No,,Solitary,,No,,Polylectic,,NA,
Nomada_rodecki,34,11,1,Native,,NA,,soil,,Non_excavator,,NA,,NA,,Solitary,,Yes,,Polylectic,,NA,
Andrena_atlantica,34,12,4,NorthEast,,9,,soil,,Excavator,,NA,,No,,Solitary,,No,,Polylectic,,Suspected_univoltine,
Andrena_carolina,19,12,2,NorthEast,,9,,soil,,Excavator,,NA,,No,,Solitary,,No,,Oligolectic,,Univoltine,
Andrena_mandibularis,17,12,3,NorthEast,,10,,soil,,Excavator,,NA,,No,,Solitary,,No,,Polylectic,,NA,
Coelioxys_sayi,20,12,5,NorthEast,,10.75,,hole,,Non_excavator,,NA,,No,,Solitary,,Yes,,Polylectic,,Multivoltine,
Nomada_imbricata,19,12,3,NorthEast,,9.5,,soil,,Non_excavator,,NA,,No,,Solitary,,Yes,,Polylectic,,NA,
Lasioglossum_georgeickworti,25,13,4,NorthEast,,NA,,soil,,Excavator,,NA,,Sand,,Eusocial,,No,,Polylectic,,NA,
Agapostemon_splendens,34,14,6,NorthEast,,10,,soil,,Excavator,,NA,,Sand,,fac_social,,No,,Polylectic,,Suspected_multivoltine,
