uniqueID,sc,year,round,fdate,site,AM_PM,transect,treatment,L_R,genus,species,gs,,sex,detby,Taxonomy_notes,det_date,basicID,non_bee_desc1,plant_code,plant_genus_2013,plant_species_2013,plant_genus,plant_species,genus_species,planted,coll,lat,lon,spec_notes,plant_check1,plant_check2,error_redo,
XCIG2013_3305,2013_URWAC,2013,2,7/19/13,URWA,AM,1,C,,Ceratina,dupla,Ceratina_dupla,,f,J_Gibbs,,0000-00-00,bee,,CIIN,Cichorium,intybus,Cichorium,intybus,Cichorium_intybus,no,MR,40.701794,-74.700673,,NULL,,,
XCIG2013_3306,2013_URWAC,2013,2,7/19/13,URWA,AM,1,C,,Ceratina,strenua,Ceratina_strenua,,f,J_Gibbs,,0000-00-00,bee,,CIIN,Cichorium,intybus,Cichorium,intybus,Cichorium_intybus,no,MR,40.701794,-74.700673,,NULL,,,
XCIG2013_3307,2013_URWAC,2013,2,7/19/13,URWA,AM,1,C,,unkown,unkown,unkown_unkown,,,,,0000-00-00,fly,Tiny_yellow_grey_striped_butt_fly_,CIIN,Cichorium,intybus,Cichorium,intybus,Cichorium_intybus,no,MR,40.701794,-74.700673,,NULL,,,
XCIG2013_3429,2013_URWAC,2013,2,7/19/13,URWA,PM,2,C,,Augochlorella,aurata,Augochlorella_aurata,,f,J_Gibbs,,0000-00-00,bee,,ACMI2,Achillea,millefolium,Achillea,millefolium,Achillea_millefolium,no,SM,40.701794,-74.700673,,NULL,,,
XCIG2013_3430,2013_URWAT,2013,2,7/19/13,URWA,AM,1,T,,Augochlorella,aurata,Augochlorella_aurata,,f,J_Gibbs,,0000-00-00,bee,,RUHI2,Rudbekia,hirta,Rudbeckia,hirta,Rudbeckia_hirta,yes,MR,40.703892,-74.700793,,NULL,,,
XCIG2013_3431,2013_URWAC,2013,2,7/19/13,URWA,AM,1,C,,Bombus,impatiens,Bombus_impatiens,,f,J_Gibbs,,0000-00-00,bee,,PYTE,Pycnanthemum,tenuifolium,Pycnanthemum,tenuifolium,Pycnanthemum_tenuifolium,no,SM,40.701794,-74.700673,,NULL,,,
XCIG2013_3433,2013_URWAC,2013,2,7/19/13,URWA,AM,1,C,,Bombus,griseocollis,Bombus_griseocollis,,f,J_Gibbs,,0000-00-00,bee,,PYTE,Pycnanthemum,tenuifolium,Pycnanthemum,tenuifolium,Pycnanthemum_tenuifolium,no,SM,40.701794,-74.700673,,NULL,,,
XCIG2013_3434,2013_URWAC,2013,2,7/19/13,URWA,AM,1,C,,Bombus,impatiens,Bombus_impatiens,,f,J_Gibbs,,0000-00-00,bee,,PYTE,Pycnanthemum,tenuifolium,Pycnanthemum,tenuifolium,Pycnanthemum_tenuifolium,no,SM,40.701794,-74.700673,,NULL,,,
XCIG2013_3435,2013_URWAC,2013,2,7/19/13,URWA,PM,1,C,,Bombus,griseocollis,Bombus_griseocollis,,m,J_Gibbs,,0000-00-00,bee,,PYTE,Pycnanthemum,tenuifolium,Pycnanthemum,tenuifolium,Pycnanthemum_tenuifolium,no,MR,40.701794,-74.700673,,NULL,,,
XCIG2013_3436,2013_URWAC,2013,2,7/19/13,URWA,PM,1,C,,Bombus,griseocollis,Bombus_griseocollis,,m,J_Gibbs,,0000-00-00,bee,,PYTE,Pycnanthemum,tenuifolium,Pycnanthemum,tenuifolium,Pycnanthemum_tenuifolium,no,MR,40.701794,-74.700673,,NULL,,,
XCIG2013_3437,2013_URWAC,2013,2,7/19/13,URWA,PM,1,C,,Xylocopa,virginica,Xylocopa_virginica,,f,J_Gibbs,,0000-00-00,bee,,PYTE,Pycnanthemum,tenuifolium,Pycnanthemum,tenuifolium,Pycnanthemum_tenuifolium,no,MR,40.701794,-74.700673,,NULL,,,
XCIG2013_3439,2013_URWAC,2013,2,7/19/13,URWA,PM,1,C,,Bombus,griseocollis,Bombus_griseocollis,,f,J_Gibbs,,0000-00-00,bee,,PYTE,Pycnanthemum,tenuifolium,Pycnanthemum,tenuifolium,Pycnanthemum_tenuifolium,no,MR,40.701794,-74.700673,,NULL,,,
XCIG2013_3440,2013_URWAC,2013,2,7/19/13,URWA,PM,1,C,,Bombus,griseocollis,Bombus_griseocollis,,f,J_Gibbs,,0000-00-00,bee,,PYTE,Pycnanthemum,tenuifolium,Pycnanthemum,tenuifolium,Pycnanthemum_tenuifolium,no,MR,40.701794,-74.700673,,NULL,,,
XCIG2013_3441,2013_URWAC,2013,2,7/19/13,URWA,PM,1,C,,Ceratina,strenua,Ceratina_strenua,,f,J_Gibbs,,0000-00-00,bee,,PYTE,Pycnanthemum,tenuifolium,Pycnanthemum,tenuifolium,Pycnanthemum_tenuifolium,no,MR,40.701794,-74.700673,,NULL,,,
XCIG2013_3442,2013_URWAC,2013,2,7/19/13,URWA,AM,1,C,,Bombus,impatiens,Bombus_impatiens,,f,J_Gibbs,,0000-00-00,bee,,PRVU,Prunella,vulgaris,Prunella,vulgaris,Prunella_vulgaris,no,MR,40.701794,-74.700673,,NULL,,,
XCIG2013_3443,2013_URWAC,2013,2,7/19/13,URWA,AM,1,C,,unkown,unkown,unkown_unkown,,,,,0000-00-00,wasp,Sandy_brown_butt_wasp___,SOCA6,Solidago,canadensis,Solidago,canadensis,Solidago_canadensis,no,SM,40.701794,-74.700673,,1,,,
XCIG2013_3444,2013_URWAC,2013,2,7/19/13,URWA,AM,1,C,,Hylaeus,mesillae,Hylaeus_mesillae,,f,J_Gibbs,,0000-00-00,bee,,SOCA6,Solidago,canadensis,Solidago,canadensis,Solidago_canadensis,no,SM,40.701794,-74.700673,,1,,,
XCIG2013_3445,2013_URWAC,2013,2,7/19/13,URWA,AM,1,C,,Hylaeus,mesillae,Hylaeus_mesillae,,f,J_Gibbs,,0000-00-00,bee,,SOCA6,Solidago,canadensis,Solidago,canadensis,Solidago_canadensis,no,SM,40.701794,-74.700673,,1,,,
XCIG2013_3446,2013_URWAC,2013,2,7/19/13,URWA,PM,1,C,,unkown,unkown,unkown_unkown,,,,,0000-00-00,wasp,Sandy_brown_butt_wasp___,SOCA6,Solidago,canadensis,Solidago,canadensis,Solidago_canadensis,no,MR,40.701794,-74.700673,,1,,,
XCIG2013_3447,2013_URWAC,2013,2,7/19/13,URWA,PM,1,C,,unkown,unkown,unkown_unkown,,,,,0000-00-00,wasp,Bembicine,SOCA6,Solidago,canadensis,Solidago,canadensis,Solidago_canadensis,no,MR,40.701794,-74.700673,,1,,,
XCIG2013_3448,2013_URWAC,2013,2,7/19/13,URWA,PM,1,C,,unkown,unkown,unkown_unkown,,,,,0000-00-00,wasp,Pointy_black_yellow_wasp___,SOCA6,Solidago,canadensis,Solidago,canadensis,Solidago_canadensis,no,MR,40.701794,-74.700673,,1,,,
