uniqueID,sc,year,round,fdate,site,AM_PM,transect,treatment,L_R,genus,species,ssp,sex,detby,Taxonomy_notes,det_date,basicID,non_bee_desc1,plant_code,plant_genus_2013,plant_species_2013,plant_genus,plant_species,planted,coll,lat,lon,spec_notes,plant_check1,plant_check2,error_redo,problem.,Problem,status,project
NAT.CIG2012_0019,2012_ROT,2012,2,2012-06-26,RO,PM,4,T,L,Agapostemon,virescens,,f,J.Ascher,,11/11/12,bee,NA,COLA5,Coreopsis ,lanceolata,Coreopsis,lanceolata,yes,GKN,40.884492,-75.012517,,NA,,,,NA,KEPT,Davis_CIG
NAT.CIG2012_0020,2012_ROT,2012,2,2012-06-26,RO,AM,2,T,L,Agapostemon,virescens,,f,J.Ascher,,11/11/12,bee,NA,RUHI2,Rudbeckia,hirta,Rudbeckia,hirta,yes,BGJ,40.884492,-75.012517,,NA,,,,NA,KEPT,Davis_CIG
NAT.CIG2012_0021,2012_ABT,2012,3,2012-08-09,AB,AM,2,T,L,Agapostemon,virescens,,m,J.Ascher,,11/11/12,bee,NA,HEHE5,Heliopsis,helianthoides,Heliopsis,helianthoides,yes,DPC,39.780504,-74.767308,,NA,,,,NA,KEPT,Davis_CIG
NAT.CIG2012_0022,2012_BWT,2012,4,2012-08-23,BW,AM,3,T,L,Agapostemon,virescens,,m,J.Ascher,,11/11/12,bee,NA,GAPU,Gaillardia,pulchella,Gaillardia,pulchella,yes,BGJ,39.536073,-74.932563,,NA,,,,NA,KEPT,Davis_CIG
NAT.CIG2012_0023,2012_DET,2012,2,2012-07-03,DF,AM,3,T,L,Agapostemon,sericeus,,f,J.Ascher,,11/11/12,bee,NA,RUHI2,Rudbeckia,hirta,Rudbeckia,hirta,yes,GKN,39.9198,-74.790006,,NA,,,,NA,KEPT,Davis_CIG
NAT.CIG2012_0024,2012_MAT,2012,1,2012-06-14,MA,AM,4,T,R,Agapostemon,texanus,,f,J.Ascher,,11/11/12,bee,NA,RUHI2,Rudbeckia,hirta,Rudbeckia,hirta,yes,DPC,39.263113,-74.719499,,NA,,,,NA,KEPT,Davis_CIG
NAT.CIG2012_0025,2012_DET,2012,1,2012-06-08,DF,AM,1,T,L,Anacrabro,ocellatus,,,J.Ascher,,11/11/12,wasp,NA,OELA,0,0,Oenothera,laciniata,no,GKN,39.9198,-74.790006,,NA,,,,NA,KEPT,Davis_CIG
NAT.CIG2012_0026,2012_ALC,2012,4,2012-08-29,AL,AM,3,C,L,Andrena,simplex,,f,J.Ascher,,11/11/12,bee,NA,SOCA6,Solidago,canadensis,Solidago,canadensis,no,BGJ,40.92378,-74.813615,,1,,,,NA,KEPT,Davis_CIG
NAT.CIG2012_0027,2012_ALC,2012,4,2012-08-29,AL,AM,3,C,L,Andrena,simplex,,m,J.Ascher,,11/11/12,bee,NA,SOCA6,Solidago,canadensis,Solidago,canadensis,no,BGJ,40.92378,-74.813615,,1,,,,NA,KEPT,Davis_CIG
NAT.CIG2012_0028,2012_MAT,2012,1,2012-06-14,MA,AM,1,T,L,Andrena,wilkella,,f,J.Ascher,,11/11/12,bee,NA,TRRE3,Trifolium,repens,Trifolium,repens,no,BGJ,39.263113,-74.719499,,NA,,,,NA,KEPT,Davis_CIG
NAT.CIG2012_0029,2012_ROT,2012,1,2012-05-31,RO,PM,4,T,R,Andrena,wilkella,,m,J.Ascher,,11/11/12,bee,NA,TRRE3,Trifolium,repens,Trifolium,repens,no,GKN,40.884492,-75.012517,,NA,,,,NA,KEPT,Davis_CIG
NAT.CIG2012_0030,2012_ROT,2012,1,2012-05-31,RO,PM,4,T,R,Andrena,wilkella,,m,J.Ascher,,11/11/12,bee,NA,TRRE3,Trifolium,repens,Trifolium,repens,no,GKN,40.884492,-75.012517,,NA,,,,NA,KEPT,Davis_CIG
NAT.CIG2012_0031,2012_ROT,2012,1,2012-06-01,RO,PM,3,T,L,Andrena,wilkella,,m,J.Ascher,,11/11/12,bee,NA,TRRE3,Trifolium,repens,Trifolium,repens,no,GKN,40.884492,-75.012517,,NA,,,,NA,KEPT,Davis_CIG
NAT.CIG2012_0032,2012_DET,2012,2,2012-07-03,DF,AM,3,T,R,Andrena,rudbeckiae,,f,J.Ascher,,11/11/12,bee,NA,RUHI2,Rudbeckia,hirta,Rudbeckia,hirta,yes,GKN,39.9198,-74.790006,,NA,,,,NA,KEPT,Davis_CIG
NAT.CIG2012_0033,2012_ABC,2012,4,2012-08-30,AB,AM,4,C,R,Anthidiellum,notatum,,f,J.Ascher,,11/11/12,bee,NA,0,unknown,unknown,pinkpea,CHECK,no,BGJ,39.772882,-74.772184,,1,unkown plant,,,NA,KEPT,Davis_CIG
NAT.CIG2012_0034,2012_MAT,2012,2,2012-06-28,MA,PM,2,T,L,Apis,mellifera,,f,J.Ascher,,11/11/12,honeybee,NA,MOFI,0,0,none,none,no,BGJ,39.263113,-74.719499,,NA,,,,NA,KEPT,Davis_CIG
NAT.CIG2012_0035,2012_ROC,2012,2,2012-06-26,RO,AM,4,C,R,Apis,mellifera,,f,J.Ascher,,11/11/12,honeybee,NA,ASSY,0,0,none,none,no,GKN,40.885194,-75.013669,,NA,,,,NA,KEPT,Davis_CIG
NAT.CIG2012_0036,2012_BWT,2012,1,2012-06-15,BW,AM,2,T,R,Apis,mellifera,,f,J.Ascher,,11/11/12,Apis,NA,Gall.,0,0,0,0,no,BGJ,39.536073,-74.932563,,1,,,cannot find,NA,KEPT,Davis_CIG
NAT.CIG2012_0037,2012_ALT,2012,4,2012-08-29,AL,AM,3,T,R,Astata,,,,J.Ascher,,11/11/12,non-bee:_wasp,NA,RUHI2,0,0,Rudbeckia,hirta,no,BGJ,40.926863,-74.813052,,NA,,,,NA,KEPT,Davis_CIG
NAT.CIG2012_0038,2012_ALC,2012,3,2012-07-27,AL,PM,1,C,R,Augochlora,pura,,f,J.Ascher,,11/11/12,bee,NA,VENO,Vernonia,noveboracensis,Vernonia,noveboracensis,no,GKN,40.92378,-74.813615,,NA,,,,NA,KEPT,Davis_CIG
NAT.CIG2012_0039,2012_ALC,2012,3,2012-07-27,AL,PM,1,C,R,Augochlora,pura,,f,J.Ascher,,11/11/12,bee,NA,VENO,Vernonia,noveboracensis,Vernonia,noveboracensis,no,GKN,40.92378,-74.813615,,NA,,,,NA,KEPT,Davis_CIG
NAT.CIG2012_0040,2012_DET,2012,3,2012-08-02,DF,AM,4,T,L,Augochlora,pura,,f,J.Ascher,,11/11/12,bee,NA,RUHI2,Rudbeckia,hirta,Rudbeckia,hirta,yes,JWB,39.9198,-74.790006,,NA,,,,NA,KEPT,Davis_CIG
NAT.CIG2012_0041,2012_MAC,2012,2,2012-06-28,MA,AM,4,C,R,Augochlora,pura,,f,J.Ascher,,11/11/12,bee,NA,HIPR3,Hieracium,praealtum,Hieracium,praealtum,no,JWB,39.264481,-74.719008,,NA,,,,NA,KEPT,Davis_CIG
NAT.CIG2012_0042,2012_MAT,2012,2,2012-06-28,MA,AM,3,T,R,Augochlora,pura,,f,J.Ascher,,11/11/12,bee,NA,MOFI,Monarda,fistulosa,Monarda,fistulosa,yes,DPC,39.263113,-74.719499,,NA,,,,NA,KEPT,Davis_CIG
NAT.CIG2012_0043,2012_MAT,2012,2,2012-06-28,MA,AM,2,T,R,Augochlora,pura,,f,J.Ascher,,11/11/12,bee,NA,RUHI2,Rudbeckia,hirta,Rudbeckia,hirta,yes,BGJ,39.263113,-74.719499,,NA,,,,NA,KEPT,Davis_CIG
NAT.CIG2012_0044,2012_MAT,2012,2,2012-06-28,MA,PM,2,T,R,Augochlora,pura,,f,J.Ascher,,11/11/12,bee,NA,RUHI2,Rudbeckia,hirta,Rudbeckia,hirta,yes,BGJ,39.263113,-74.719499,,NA,,,,NA,KEPT,Davis_CIG
NAT.CIG2012_0045,2012_MAT,2012,2,2012-06-28,MA,PM,1,T,R,Augochlora,pura,,f,J.Ascher,,11/11/12,bee,NA,ERPH,Erigeron,philadelphicus,Erigeron,philadelphicus,no,GKN,39.263113,-74.719499,,1,,,,NA,KEPT,Davis_CIG
NAT.CIG2012_0046,2012_ROT,2012,1,2012-05-31,RO,AM,4,T,L,Augochlora,pura,,f,J.Ascher,,11/11/12,bee,NA,COLA5,Coreopsis ,lanceolata,Coreopsis,lanceolata,yes,GKN,40.884492,-75.012517,,1,,,,NA,KEPT,Davis_CIG
NAT.CIG2012_0047,2012_ROT,2012,1,2012-05-31,RO,PM,4,T,R,Augochlora,pura,,f,J.Ascher,,11/11/12,bee,NA,COLA5,Coreopsis ,lanceolata,Coreopsis,lanceolata,yes,GKN,40.884492,-75.012517,,NA,,,,NA,KEPT,Davis_CIG
NAT.CIG2012_0048,2012_ROT,2012,1,2012-05-31,RO,AM,2,T,L,Augochlora,pura,,CHECK,J.Ascher,,11/11/12,bee,NA,COLA5,Coreopsis ,lanceolata,Coreopsis,lanceolata,yes,DPC,40.884492,-75.012517,,NA,,,,NA,KEPT,Davis_CIG
NAT.CIG2012_0049,2012_ALT,2012,4,2012-08-29,AL,PM,1,T,L,Augochlora,pura,pura,f,J.Ascher,,11/11/12,bee,NA,RUHI2,Rudbeckia,hirta,Rudbeckia,hirta,yes,BGJ,40.926863,-74.813052,,NA,,,,NA,KEPT,Davis_CIG
NAT.CIG2012_0050,2012_ROC,2012,4,2012-08-24,RO,AM,4,C,L,Augochlora,pura,pura,f,J.Ascher,,11/11/12,bee,NA,0,unknown,unknown,Solidago,sp,no,GKN,40.885194,-75.013669,,1,unknown plant sp,,not collected and there are a couple solidagos at RO. Could be juncea or gigantea,NA,KEPT,Davis_CIG
NAT.CIG2012_0051,2012_ROC,2012,4,2012-08-24,RO,PM,4,C,L,Augochlora,pura,pura,f,J.Ascher,,11/11/12,bee,NA,0,unknown,unknown,Solidago,sp,no,GKN,40.885194,-75.013669,,1,unknown plant sp,,not collected and there are a couple solidagos at RO. Could be juncea or gigantea,NA,KEPT,Davis_CIG
NAT.CIG2012_0052,2012_ROC,2012,4,2012-08-24,RO,PM,4,C,R,Augochlora,pura,pura,f,J.Ascher,,11/11/12,bee,NA,0,unknown,unknown,Solidago,sp,no,GKN,40.885194,-75.013669,,1,unknown plant sp,,not collected and there are a couple solidagos at RO. Could be juncea or gigantea,NA,KEPT,Davis_CIG
NAT.CIG2012_0053,2012_ROC,2012,4,2012-08-24,RO,PM,3,C,L,Augochlora,pura,pura,f,J.Ascher,,11/11/12,bee,NA,0,unknown,unknown,Cirsium,arvense,no,BGJ,40.885194,-75.013669,,1,unknown plant sp,,,NA,KEPT,Davis_CIG
NAT.CIG2012_0054,2012_ROC,2012,4,2012-08-24,RO,PM,3,C,L,Augochlora,pura,pura,f,J.Ascher,,11/11/12,bee,NA,0,unknown,unknown,Cirsium,arvense,no,BGJ,40.885194,-75.013669,,1,unknown plant sp,,,NA,KEPT,Davis_CIG
NAT.CIG2012_0055,2012_ROT,2012,4,2012-08-24,RO,PM,2,T,L,Augochlora,pura,pura,f,J.Ascher,,11/11/12,bee,NA,0,unknown,unknown,Solidago,sp,yes,GKN,40.884492,-75.012517,,1,unknown plant sp,,,NA,KEPT,Davis_CIG
NAT.CIG2012_0056,2012_ROT,2012,4,2012-08-24,RO,PM,2,T,L,Augochlora,pura,pura,f,J.Ascher,,11/11/12,bee,NA,ERPH,Erigeron ,philadelphicus,Erigeron,philadelphicus,no,GKN,40.884492,-75.012517,,1,,,,NA,KEPT,Davis_CIG
NAT.CIG2012_0057,2012_ROT,2012,4,2012-08-24,RO,PM,2,T,L,Augochlora,pura,pura,f,J.Ascher,,11/11/12,bee,NA,ERPH,Erigeron ,philadelphicus,Erigeron,philadelphicus,no,GKN,40.884492,-75.012517,,1,,,,NA,KEPT,Davis_CIG
NAT.CIG2012_0058,2012_ROT,2012,4,2012-08-24,RO,PM,2,T,L,Augochlora,pura,pura,f,J.Ascher,,11/11/12,bee,NA,ERPH,Erigeron ,philadelphicus,Erigeron,philadelphicus,no,GKN,40.884492,-75.012517,,1,,,,NA,KEPT,Davis_CIG
NAT.CIG2012_0059,2012_ALT,2012,2,2012-06-27,AL,AM,4,T,R,Augochlora,pura,pura,m,J.Ascher,,11/11/12,bee,NA,COLA5,Coreopsis ,lanceolata,Coreopsis,lanceolata,yes,GKN,40.926863,-74.813052,,NA,,,,NA,KEPT,Davis_CIG
NAT.CIG2012_0060,2012_ABT,2012,3,2012-08-09,AB,AM,2,T,L,Augochlorella,aurata,,f,J.Ascher,,11/11/12,bee,NA,HEHE5,Heliopsis,helianthoides,Heliopsis,helianthoides,yes,DPC,39.780504,-74.767308,,NA,,,,NA,KEPT,Davis_CIG
NAT.CIG2012_0061,2012_ABT,2012,3,2012-08-09,AB,AM,2,T,L,Augochlorella,aurata,,f,J.Ascher,,11/11/12,bee,NA,HEHE5,Heliopsis,helianthoides,Heliopsis,helianthoides,yes,DPC,39.780504,-74.767308,,NA,,,,NA,KEPT,Davis_CIG
NAT.CIG2012_0062,2012_BWC,2012,3,2012-08-07,BW,AM,1,C,R,Augochlorella,aurata,,f,J.Ascher,,11/11/12,bee,NA,HYPE,Hypericum,perforatum,Hypericum,perforatum,no,JWB,39.536493,-74.934855,,1,Buttercup-like aka Yellow5,,,NA,KEPT,Davis_CIG
NAT.CIG2012_0063,2012_BWC,2012,3,2012-08-07,BW,AM,1,C,R,Augochlorella,aurata,,f,J.Ascher,,11/11/12,bee,NA,HYPE,Hypericum,perforatum,Hypericum,perforatum,no,JWB,39.536493,-74.934855,,1,Buttercup-like,,,NA,KEPT,Davis_CIG
NAT.CIG2012_0064,2012_BWC,2012,3,2012-08-07,BW,AM,4,C,L,Augochlorella,aurata,,f,J.Ascher,,11/11/12,bee,NA,HYPE,Hypericum,perforatum,Hypericum,perforatum,no,GKN,39.536493,-74.934855,,1,Buttercup-like,,,NA,KEPT,Davis_CIG
NAT.CIG2012_0065,2012_BWC,2012,3,2012-08-07,BW,AM,2,C,R,Augochlorella,aurata,,f,J.Ascher,,11/11/12,bee,NA,HYPE,Hypericum,perforatum,Hypericum,perforatum,no,BGJ,39.536493,-74.934855,,1,Buttercup-like,,,NA,KEPT,Davis_CIG
NAT.CIG2012_0066,2012_BWC,2012,3,2012-08-07,BW,AM,2,C,L,Augochlorella,aurata,,f,J.Ascher,,11/11/12,bee,NA,HYPE,Hypericum,perforatum,Hypericum,perforatum,no,BGJ,39.536493,-74.934855,,1,Buttercup-like,,,NA,KEPT,Davis_CIG
NAT.CIG2012_0067,2012_ROC,2012,3,2012-07-24,RO,AM,4,C,L,Augochlorella,aurata,,f,J.Ascher,,11/11/12,bee,NA,ACMI2,Achillea,millefolium,Achillea,millefolium,no,GKN,40.885194,-75.013669,,NA,,,,NA,KEPT,Davis_CIG
NAT.CIG2012_0068,2012_ROC,2012,3,2012-07-24,RO,PM,2,C,L,Augochlorella,aurata,,f,J.Ascher,,11/11/12,bee,NA,MOFI,Monarda,fistulosa,Monarda,fistulosa,no,BGJ,40.885194,-75.013669,,NA,,,,NA,KEPT,Davis_CIG
NAT.CIG2012_0069,2012_ROC,2012,3,2012-07-24,RO,PM,2,C,R,Augochlorella,aurata,,f,J.Ascher,,11/11/12,bee,NA,CESTM,Centaurea,stoebe,Centaurea,stoebe,no,BGJ,40.885194,-75.013669,,1,,,,NA,KEPT,Davis_CIG
NAT.CIG2012_0070,2012_ROC,2012,3,2012-07-24,RO,AM,4,C,L,Augochlorella,aurata,,f,J.Ascher,,11/11/12,bee,NA,CESTM,Centaurea,stoebe,Centaurea,stoebe,no,GKN,40.885194,-75.013669,,1,,,,NA,KEPT,Davis_CIG
NAT.CIG2012_0071,2012_ROT,2012,3,2012-07-24,RO,AM,2,T,R,Augochlorella,persimilis_seeTN,,CHECK,J.Ascher,cf,11/11/12,bee,NA,ERPH,Erigeron ,philadelphicus,Erigeron,philadelphicus,no,BGJ,40.884492,-75.012517,,1,,,,NA,KEPT,Davis_CIG
NAT.CIG2012_0072,2012_ROT,2012,4,2012-08-24,RO,PM,3,T,R,Augochlorella,persimilis_seeTN,,CHECK,J.Ascher,,11/11/12,bee,NA,ERPH,Erigeron ,philadelphicus,Erigeron,philadelphicus,no,BGJ,40.884492,-75.012517,,1,,,,NA,KEPT,Davis_CIG
NAT.CIG2012_0073,2012_ROT,2012,1,2012-06-01,RO,AM,3,T,R,Augochloropsis,metallica,,CHECK,J.Ascher,,11/11/12,bee,NA,COLA5,Coreopsis ,lanceolata,Coreopsis,lanceolata,yes,GKN,40.884492,-75.012517,,NA,,,,NA,KEPT,Davis_CIG
NAT.CIG2012_0074,2012_ABT,2012,1,2012-06-19,AB,PM,1,T,L,Bombus,bimaculatus,,m,J.Ascher,,11/11/12,bee,NA,MOFI,Monarda,fistulosa,Monarda,fistulosa,yes,GKN,39.780504,-74.767308,,NA,,,,NA,CHECK,Davis_CIG
NAT.CIG2012_0075,2012_ABT,2012,2,2012-07-09,AB,AM,1,T,L,Bombus,bimaculatus,,m,J.Ascher,,11/11/12,bee,NA,MOFI,Monarda,fistulosa,Monarda,fistulosa,yes,BGJ,39.780504,-74.767308,,NA,,,,NA,CHECK,Davis_CIG
NAT.CIG2012_0076,2012_ABT,2012,2,2012-07-09,AB,AM,1,T,R,Bombus,bimaculatus,,m,J.Ascher,,11/11/12,bee,NA,MOFI,Monarda,fistulosa,Monarda,fistulosa,yes,BGJ,39.780504,-74.767308,,NA,,,,NA,CHECK,Davis_CIG
NAT.CIG2012_0077,2012_ABT,2012,2,2012-07-09,AB,AM,1,T,L,Bombus,bimaculatus,,m,J.Ascher,,11/11/12,bee,NA,MOFI,Monarda,fistulosa,Monarda,fistulosa,yes,BGJ,39.780504,-74.767308,,NA,,,,NA,CHECK,Davis_CIG
NAT.CIG2012_0078,2012_ABT,2012,2,2012-07-09,AB,AM,1,T,L,Bombus,bimaculatus,,m,J.Ascher,,11/11/12,bee,NA,MOFI,Monarda,fistulosa,Monarda,fistulosa,yes,BGJ,39.780504,-74.767308,,NA,,,,NA,CHECK,Davis_CIG
NAT.CIG2012_0079,2012_ABT,2012,2,2012-07-09,AB,AM,2,T,L,Bombus,bimaculatus,,m,J.Ascher,,11/11/12,bee,NA,MOFI,Monarda,fistulosa,Monarda,fistulosa,yes,DPC,39.780504,-74.767308,,NA,,,,NA,CHECK,Davis_CIG
NAT.CIG2012_0080,2012_ABT,2012,2,2012-07-09,AB,AM,2,T,L,Bombus,bimaculatus,,m,J.Ascher,,11/11/12,bee,NA,MOFI,Monarda,fistulosa,Monarda,fistulosa,yes,DPC,39.780504,-74.767308,,NA,,,,NA,CHECK,Davis_CIG
NAT.CIG2012_0081,2012_ABT,2012,2,2012-07-09,AB,AM,2,T,L,Bombus,bimaculatus,,m,J.Ascher,,11/11/12,bee,NA,MOFI,Monarda,fistulosa,Monarda,fistulosa,yes,DPC,39.780504,-74.767308,,NA,,,,NA,CHECK,Davis_CIG
NAT.CIG2012_0082,2012_ABT,2012,2,2012-07-09,AB,PM,1,T,R,Bombus,bimaculatus,,m,J.Ascher,,11/11/12,bee,NA,MOFI,Monarda,fistulosa,Monarda,fistulosa,yes,BGJ,39.780504,-74.767308,,NA,,,,NA,CHECK,Davis_CIG
NAT.CIG2012_0083,2012_ABT,2012,2,2012-07-09,AB,PM,1,T,R,Bombus,bimaculatus,,m,J.Ascher,,11/11/12,bee,NA,MOFI,Monarda,fistulosa,Monarda,fistulosa,yes,BGJ,39.780504,-74.767308,,NA,,,,NA,CHECK,Davis_CIG
NAT.CIG2012_0084,2012_ABT,2012,2,2012-07-09,AB,PM,2,T,L,Bombus,bimaculatus,,m,J.Ascher,,11/11/12,bee,NA,MOFI,Monarda,fistulosa,Monarda,fistulosa,yes,DPC,39.780504,-74.767308,,NA,,,,NA,CHECK,Davis_CIG
NAT.CIG2012_0085,2012_ALT,2012,1,2012-06-13,AL,PM,2,T,R,Bombus,bimaculatus,,m,J.Ascher,,11/11/12,bee,NA,COLA5,Coreopsis ,lanceolata,Coreopsis,lanceolata,yes,GKN,40.926863,-74.813052,,NA,,,,NA,CHECK,Davis_CIG
NAT.CIG2012_0086,2012_ALT,2012,1,2012-06-13,AL,PM,4,T,R,Bombus,bimaculatus,,m,J.Ascher,,11/11/12,bee,NA,LEVU,Leucanthemum,vulgare,Leucanthemum,vulgare,yes,BGJ,40.926863,-74.813052,,NA,,,,NA,CHECK,Davis_CIG
NAT.CIG2012_0087,2012_ALT,2012,2,2012-06-27,AL,PM,4,T,R,Bombus,bimaculatus,,m,J.Ascher,,11/11/12,bee,NA,GAPU,Gaillardia,pulchella,Gaillardia,pulchella,yes,GKN,40.926863,-74.813052,,1,,,,NA,CHECK,Davis_CIG
NAT.CIG2012_0088,2012_BWT,2012,1,2012-06-15,BW,AM,2,T,L,Bombus,bimaculatus,,m,J.Ascher,,11/11/12,bee,NA,GAPU,Gaillardia,pulchella,Gaillardia,pulchella,yes,BGJ,39.536073,-74.932563,,1,,,,NA,CHECK,Davis_CIG
NAT.CIG2012_0089,2012_BWT,2012,1,2012-06-15,BW,PM,4,T,L,Bombus,bimaculatus,,m,J.Ascher,,11/11/12,bee,NA,GAPU,Gaillardia,pulchella,Gaillardia,pulchella,yes,JWB,39.536073,-74.932563,,1,,,,NA,CHECK,Davis_CIG
NAT.CIG2012_0090,2012_BWT,2012,2,2012-07-02,BW,AM,2,T,R,Bombus,bimaculatus,,m,J.Ascher,,11/11/12,bee,NA,GAPU,Gaillardia,pulchella,Gaillardia,pulchella,yes,GKN,39.536073,-74.932563,,1,,,,NA,CHECK,Davis_CIG
NAT.CIG2012_0091,2012_BWT,2012,2,2012-07-02,BW,AM,3,T,L,Bombus,bimaculatus,,m,J.Ascher,,11/11/12,bee,NA,GAPU,Gaillardia,pulchella,Gaillardia,pulchella,yes,BGJ,39.536073,-74.932563,,NA,,,,NA,CHECK,Davis_CIG
NAT.CIG2012_0092,2012_BWT,2012,2,2012-07-02,BW,PM,4,T,R,Bombus,bimaculatus,,m,J.Ascher,,11/11/12,bee,NA,GAPU,Gaillardia,pulchella,Gaillardia,pulchella,yes,JWB,39.536073,-74.932563,,NA,,,,NA,CHECK,Davis_CIG
