"","genus_species","gs","X","uniqueID","sc","year","round","fdate","site","AM_PM","transect","treatment","L_R","genus","species","ssp","sex","detby","Taxonomy_notes","det_date","basicID","non_bee_desc1","plant_code.x","plant_genus_2013","plant_species_2013","plant_genus.x","plant_species.x","planted","coll","lat","lon","spec_notes","plant_check1","plant_check2","error_redo","problem.","Problem","status","project","meanIT","meantongue","plant_code.y","depth","width","plant_genus.y","plant_species.y"
"312","Monarda_fistulosa","Bombus_griseocollis",553,"NAT.CIG2012_0559","2012_ABT",2012,2,"7/9/12","AB","PM",2,"T","L","Bombus","griseocollis","","m","J.Ascher","","11/11/12","bee",NA,"MOFI","Monarda","fistulosa","Monarda","fistulosa","yes","DPC",39.780504,-74.767308,"",NA,"","","",NA,"CHECK","Davis_CIG",4.992607843,9.971809194,"MOFI",15.93033333,2.955392128,"Monarda","fistulosa"
"313","Monarda_fistulosa","Bombus_impatiens",9667,"NCIG2013_6382","2013_RandLT",2013,3,"8/5/13","RL","PM",4,"T","L","Bombus","impatiens",NA,"f","J_Gibbs","","11/11/13","bee",1,"MOFI","Monarda","fistulosa","Monarda","fistulosa","yes","GP",39.856018,-77.373964,"",3,NA,"","",NA,"CHECK","Davis_CIG",4.930735632,9.853144515,"MOFI",15.93033333,2.955392128,"Monarda","fistulosa"
"314","Monarda_fistulosa","Bombus_impatiens",9378,"NCIG2013_6271","2013_RandLT",2013,3,"8/5/13","RL","AM",2,"T","R","Bombus","impatiens",NA,"f","J_Gibbs","","11/11/13","bee",1,"MOFI","Monarda","fistulosa","Monarda","fistulosa","yes","AC",39.856018,-77.373964,"",3,NA,"","",NA,"CHECK","Davis_CIG",4.930735632,9.853144515,"MOFI",15.93033333,2.955392128,"Monarda","fistulosa"
"315","Monarda_fistulosa","Bombus_griseocollis",9550,"NCIG2013_6265","2013_RandLT",2013,3,"8/5/13","RL","PM",2,"T","L","Bombus","griseocollis",NA,"f","J_Gibbs","","11/11/13","bee",1,"MOFI","Monarda","fistulosa","Monarda","fistulosa","yes","AC",39.856018,-77.373964,"",3,NA,"","",NA,"CHECK","Davis_CIG",4.992607843,9.971809194,"MOFI",15.93033333,2.955392128,"Monarda","fistulosa"
"316","Monarda_fistulosa","Bombus_impatiens",9544,"NCIG2013_6258","2013_RandLT",2013,3,"8/5/13","RL","PM",2,"T","L","Bombus","impatiens",NA,"f","J_Gibbs","","11/11/13","bee",1,"MOFI","Monarda","fistulosa","Monarda","fistulosa","yes","AC",39.856018,-77.373964,"",3,NA,"","",NA,"CHECK","Davis_CIG",4.930735632,9.853144515,"MOFI",15.93033333,2.955392128,"Monarda","fistulosa"
"317","Monarda_fistulosa","Bombus_impatiens",3110,"XCIG2014_1472","2014_ABT",2014,2,"7/5/14","AB","AM",2,"T","NULL","Bombus","impatiens",NA,"f","Gibbs","","12/1/14","bee",NA,"MOFI",NA,NA,"Monarda","fistulosa",NA,"MR",39.780504,-74.767308,NA,NA,NA,NA,NA,NA,"ANSP 2015","NJ_CIG",4.930735632,9.853144515,"MOFI",15.93033333,2.955392128,"Monarda","fistulosa"
"318","Monarda_fistulosa","Bombus_bimaculatus",7488,"NCIG2013_4231","2013_DandRT",2013,2,"6/28/13","DR","PM",3,"T","R","Bombus","bimaculatus",NA,"m","J_Gibbs","","11/11/13","bee",1,"MOFI","Monarda","fistulosa","Monarda","fistulosa","yes","GP",40.298445,-74.56289,"",3,NA,"","",NA,"CHECK","Davis_CIG",4.348418605,8.733286243,"MOFI",15.93033333,2.955392128,"Monarda","fistulosa"
"319","Monarda_fistulosa","Bombus_griseocollis",8703,"NCIG2013_4631","2013_DandRT",2013,3,"7/24/13","DR","PM",4,"T","?","Bombus","griseocollis",NA,"f","J_Gibbs","","11/11/13","bee",1,"MOFI","Monarda","fistulosa","Monarda","fistulosa","yes","GP",40.298445,-74.56289,"",3,NA,"","",NA,"CHECK","Davis_CIG",4.992607843,9.971809194,"MOFI",15.93033333,2.955392128,"Monarda","fistulosa"
"320","Monarda_fistulosa","Bombus_bimaculatus",7649,"NCIG2013_3057","2013_FHC",2013,2,"7/8/13","FH","PM",2,"C","R","Bombus","bimaculatus",NA,"f","J_Gibbs","","11/11/13","bee",1,"MOFI","Monarda","fistulosa","Monarda","fistulosa","no","MR",40.694391,-74.754039,"",3,NA,"","",NA,"CHECK","Davis_NJ_CIG",4.348418605,8.733286243,"MOFI",15.93033333,2.955392128,"Monarda","fistulosa"
"321","Monarda_fistulosa","Bombus_impatiens",8280,"NCIG2013_4040","2013_RandLT",2013,2,"7/16/13","RL","PM",2,"T","R","Bombus","impatiens",NA,"f","J_Gibbs","","11/11/13","bee",1,"MOFI","Monarda","fistulosa","Monarda","fistulosa","yes","SM",39.856018,-77.373964,"",3,NA,"","",NA,"CHECK","Davis_CIG",4.930735632,9.853144515,"MOFI",15.93033333,2.955392128,"Monarda","fistulosa"
