site,observer,collection_date,plant_genus,plant_species,individual_plant,inf_number,flower_number,c_width_px,c_depth1_px,c_depth2_px,c_depth3_px,c_width_mm,c_width_mm_calipers,c_depth1_mm,c_depth2_mm,magnification,flower_type,photo_reference,plant_code,,**make sure all measurement photos are saved in jp2 format
NENE,RT,8-Jul,Ascelpias,tuberosa,c,1,1,490.8,546.74,,,1.671815869,,1.862364727,,1,,,,,
NENE,RT,8-Jul,Ascelpias,tuberosa,c,1,2,471.47,548.97,,,1.605971939,,1.869960793,,1,,,,,
NENE,RT,8-Jul,Ascelpias,tuberosa,c,2,1,482.99,577.84,,,1.645212605,,1.9683009,,1,,,,,
NENE,RT,8-Jul,Ascelpias,tuberosa,c,2,2,480.1,560.48,,,1.635368375,,1.909167396,,1,,,,,
NENE,RT,8-Jul,Ascelpias,tuberosa,d,1,1,473.57,487.49,,,1.613125185,,1.66054099,,1,,,,,
NENE,RT,8-Jul,Ascelpias,tuberosa,d,1,2,535.83,494.47,,,1.825201909,,1.684317018,,1,,,,,
NENE,RT,8-Jul,Ascelpias,tuberosa,d,2,1,358.03,486.08,,,1.219560382,,1.655738096,,1,,,,,this was a really small flower
NENE,RT,8-Jul,Ascelpias,tuberosa,d,2,2,524.52,526.37,,,1.786676568,,1.792978237,,1,,,,,
NENE,RT,8-Jul,Ascelpias,tuberosa,e,1,1,690.05,578.68,,,2.350522698,,1.971162198,,1,,,,,large flower
NENE,RT,8-Jul,Ascelpias,tuberosa,e,1,2,672.73,588.9,,,2.291525447,,2.005974664,,1,,,,,large flower
NENE,RT,8-Jul,Ascelpias,tuberosa,e,2,1,672.76,538.13,,,2.291627636,,1.833036417,,1,,,,,
NENE,RT,8-Jul,Ascelpias,tuberosa,e,2,2,669.24,563.58,,,2.279637433,,1.91972695,,1,,,,,
SS,RT,9-Jul,Trifolium,pratense,a,1,1,213.59,,,,0.727553283,,10.19,,1,pea,,TRPR2,,
SS,RT,9-Jul,Trifolium,pratense,a,1,2,240.78,,,,0.820170792,,10.45,,1,pea,,TRPR2,,
SS,RT,9-Jul,Trifolium,pratense,a,1,3,259.04,,,,0.882369973,,10.79,,1,pea,,TRPR2,,
SS,RT,9-Jul,Trifolium,pratense,a,1,4,249.22,,,,0.84892003,,9.49,,1,pea,,TRPR2,,
SS,RT,9-Jul,Trifolium,pratense,a,2,1,253.27,,,,0.862715577,,10.1,,1,pea,,TRPR2,,
SS,RT,9-Jul,Trifolium,pratense,a,2,2,240.96,,,,0.820783928,,10.73,,1,pea,,TRPR2,,
SS,RT,9-Jul,Trifolium,pratense,a,2,3,278.04,,,,0.947089821,,9.89,,1,pea,,TRPR2,,
SS,RT,9-Jul,Trifolium,pratense,a,2,4,235,,,,0.800482333,,9.13,,1,pea,,TRPR2,,
SS,RT,9-Jul,Trifolium,pratense,b,1,1,202.36,,,,0.689300447,,7.59,,1,pea,,TRPR2,,
SS,RT,9-Jul,Trifolium,pratense,b,1,2,220.52,,,,0.751158996,,9.65,,1,pea,,TRPR2,,
